question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What are the Purposes of the Dorsal and Volar Incisions during a Proximal Row Carpectomy for Lunate Dislocation / Perilunate Dissociations?,Perform If Median Nerve Compression is Present Volar Approach allows Median Nerve Decompression with Excision of Lunate Dorsal Approach Facilitates Excision of the Scaphoid and Triquetrum,AO: Combined Approach to Perilunate Dislocation,hand,wrist,,,,hand,wrist,,,
"With Lunate Dislocation / Perilunate Dissociations, when is Transient Ischemia of the Lunate Usually Identified?",1-4 Months Post-Injury,,hand,wrist,,,,hand,wrist,,,
What is the Treatment of Transient Ischemia of the Lunate following Lunate Dislocation / Perilunate Dissociations?,Observation,Benign and Self-Limiting,hand,wrist,,,,hand,wrist,,,
What is the Mainstay of Treatment of Both Bone Forearm Fractures in Adults?,Generally ORIF with Compression Plating of BOTH the Ulna and Radius fractures,,trauma,forearm,,,orif,trauma,forearm,,,
Which Age Range in Men has the Highest Incidence of Both Bone Forearm Fractures?,10-20 Years,,peds,forearm,,,,pediatrics,forearm,,,
Which Age Range in Women has the Highest Incidence of Both Bone Forearm Fractures?,>60 Years,,trauma,forearm,,,,trauma,distal radius,distal radius,,
Which 3 Elbow and DRUJ injuries are classically Associated with Both Bone Forearm Fractures?,Galeazzi fractures  Monteggia fractures  Essex-Lopresti injuries,,shoulderelbow,forearm,,,,shoulderelbow,forearm,,monteggia fracture,
What Orthopaedic Emergency is Classically Associated with Both Bone Forearm Fractures?,Compartment Syndrome,,trauma,forearm,,,,trauma,forearm,,compartment syndrome,
The Axis of Rotation of the Forearm runs through which 2 Points?,Radial Head (Proximal) and Ulna Fovea (Distal),,shoulderelbow,shoulder,,,,shoulderelbow,elbow joint,elbow joint,,
What is an Indication for Nonop management of Both Bone Forearm Fractures in Adults?,Completely Nondisplaced fractures in patients who are NOT Surgical candidates,,trauma,forearm,,,,trauma,distal radius,distal radius,,
"With Both Bone Forearm Fractures in Adults, what Type of Outcomes can be expected following Nonoperative management?",High rates of Non-Union,,trauma,forearm,,,,trauma,forearm,,,
What Both Bone Forearm Fractures in Adults should be Treated with Definitive External Fixation?,Severe Soft Tissue Injury (Gustilo IIIB),,trauma,forearm,,,external fixation,trauma,forearm,,,
What are the 3 Goals of Operative Fixation of Adult Both Bone Forearm Fractures?,Cortical Opposition Compression Restoration of Forearm Anatomy,,trauma,forearm,,,,trauma,forearm,,,
What is the Union Rate with ORIF of Adult Both Bone Forearm Fractures?,>95% of Simple BBFF with Compression Plating,,trauma,forearm,,,orif,trauma,forearm,,,
What are the 3 Indications for ORIF with Bone Grafting of Adult BBFFs?,Open Fractures with Significant Bone Loss  Bone Loss that is Segmental or Associated with Open injury (Primary or Delayed Grafting in Open injuries)  Nonunions of the forearm,,trauma,forearm,,,orif,trauma,forearm,,,
"With Adult BBFFs, What are 2 Reasons why Intramedullary Nailing is NOT Preferred?",Lack of Rotational and Axial Stability Difficulty Maintaining Radial Bow,,trauma,thigh,,,intramedullary nailing,trauma,femur,femur,,
"With Adult BBFFs, why does Intramedullary Nailing have a High Nonunion Rate?",Does NOT Provide Compression across Fracture site,,trauma,thigh,,,intramedullary nailing,trauma,femur,femur,,
What Location of Humerus Shaft Fractures Generally Use the Anterior (Brachialis Split) Approach?,Middle 1/3,,shoulderelbow,shoulder,,,,shoulderelbow,middle humerus,middle humerus,,
What Location of Humerus Shaft Fractures Generally Use the Anterolateral Approach?,Proximal 1/3 to Middle 1/3,,shoulderelbow,shoulder,,,,shoulderelbow,midshaft,midshaft,,
What Location of Humerus Shaft Fractures Generally Use the Posterior Approach?,Middle to Distal 1/3,,shoulderelbow,shoulder,,,,shoulderelbow,midshaft,midshaft,,
What are 3 Signs of PIN Neuropathy?,Radial Deviation of Hand with Wrist Extension Weakness of Thumb Extension Weakness of MCP Extension,,hand,forearm,,,,hand,forearm,,,
What is the Incidence of PIN Neuropathy with Monteggia Fractures?,Up to 10% in Acute Injuries,,hand,forearm,,,,hand,forearm,,monteggia fracture,
Distal Biceps Tendon Ruptures Tend to Occur in the Dominant::Dominant/Nondominant?,Elbow (86%) of Men::Men or Women (93%) in their 40s.,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are the 3 Types of Distal Biceps Tendon Ruptures?,Complete Distal Biceps Avulsion Partial Distal Biceps Avulsion  Intersubstance Muscle Transection,Intersubstance Muscle Transection seen when rope wrapped around arm (tug-of-war),shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are the Risk Factors for Distal Biceps Tendon Ruptures?,Anabolic Steroids  Smoking (7.5x greater risk than nonsmokers)  Hypovascularity Intrinsic Degeneration Mechanical Impingement in the Space Available for the Biceps Tendon,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What Artery Makes up a Watershed and must be Ligated During Distal Biceps Tendon Repair?,Recurrent Radial a.,Branches lie SUPERFICIAL to the Distal Biceps Tendon,shoulderelbow,shoulder,,,,shoulderelbow,antecubital fossa,antecubital fossa,,
The Short Head of the Biceps Attaches on the Radial Tuberosity DISTALLY::Proximally or Distally?,"at the Thin Sliver::Name?, and is a Better Flexor::Flexor or Supinator?",Origin is the Coracoid,shoulderelbow,shoulder,,,,shoulderelbow,proximally,proximally,,
The Long Head of the Biceps Attaches on the Radial Tuberosity PROXIMALLY::Proximally or Distally?,"at the Oval Footprint::Name?, and is a Better Supinator::Flexor or Supinator?","Origin is the Superior Glenoid & Superior Glenoid Labrum  Independent Function to Prevent Anterior, Inferior and Superior Translation of Humeral Head against Proximal Pull of Short Head of biceps",shoulderelbow,foot,,,,shoulderelbow,"proximally, supinator","proximally, supinator",,
Where does the Lacertus Fibrosus Originate from?,"Just Distal to the Elbow Flexion Crease, off the Medial Short Head of the Biceps Tendon",,shoulderelbow,shoulder,,,,shoulderelbow,antecubital fossa,antecubital fossa,,
Where does the Lacertus Fibrosus Insert?,"Passes Obliquely across the Cubital Fossa, running Distally and Medially, Continuous with the Deep Fascia of the Flexor Tendon origin, Envelopes Flexor Muscle Bellies",,shoulderelbow,shoulder,,,,shoulderelbow,antecubital fossa,antecubital fossa,,
What is the Classic History for a Distal Biceps Tear?,Painful “Pop” as the Elbow is Eccentrically Loaded from Flexion to Extension,,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What are the Classic Symptoms for a Distal Biceps Tear?,"Weakness and Pain, Primarily in Supination",,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What can be Seen on Physical Exam of a Distal Biceps Tear?,"Varying Degree of Proximal Retraction of the Muscle Belly  (“Reverse Popeye Sign”) Change in Contour of the Muscle, Proximally Medial Ecchymosis Palpable Defect",,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"""How do you Perform a """"Hook Test"""" for a Distal Biceps Tear?","Position: Have Patient Actively Flex the Elbow to 90° and Fully Supinate the Forearm  Exam Maneuver: Use Index Finger to Hook the Lateral edge of the Biceps Tendon - With an Intact / Partially Torn Tendon, Finger can be Inserted 1 cm Beneath the Tendon""",,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
"""What Things can cause a False Positive """"Hook Test"""" for a Distal Biceps Tear?","Partial Tear Intact Lacertus Fibrosis Underlying Brachialis Tendon""",,shoulderelbow,shoulder,,,,shoulderelbow,antecubital fossa,antecubital fossa,,
What Percent of Talus fractures Involve the Neck?,50% (Most common fracture of Talus),,footankle,ankle,,,,footankle,talus,talus,,
The Inferior Talus Articulates with what Portion of the Calcaneus?,Posterior Facet of Calcaneus,,footankle,ankle,,,,footankle,calcaneus,calcaneus,,
What are the 2 Articulations of the Lateral Process of the Talus?,Posterior Facet of Calcaneus Lateral Malleolus of Fibula,,footankle,ankle,,,,footankle,ankle joint,ankle joint,,
What Specific Arterial Blood Supply to the Talus is generally the Only One Remaining following a Displaced Talar Neck fracture?,Deltoid branch of Posterior Tibial artery,,footankle,foot,,,,footankle,foot,,,
What is the Risk of AVN with a Hawkins IV Talar Neck fracture?,70-100%,"Subtalar, Tibiotalar, and Talonavicular Dislocation",footankle,ankle,,,,footankle,foot/ankle,foot/ankle,,
What is the Risk of AVN with a Hawkins II Talar Neck fracture?,20-50%,Subtalar dislocation,footankle,ankle,,,,footankle,foot/ankle,foot/ankle,,
What is the Risk of AVN with a Hawkins III Talar Neck fracture?,20-100%,Subtalar and Tibiotalar dislocation,footankle,ankle,,,,footankle,foot/ankle,foot/ankle,,
What is the 1st Step in the Management of Severely Dislocated Talar Neck fractures?,Emergent Reduction in ER,,footankle,ankle,,,,footankle,ankle,,,
Which Percent of Extruded Tali do NOT Require a Secondary procedure after Reimplantation?,~63%,,footankle,foot,,,,footankle,foot,,,
What are the Typical Areas of Comminution in Talar Neck fractures?,Dorsal and Medial,,footankle,ankle,,,,footankle,ankle,,,
What is the Interval for the Anteromedial Approach to the Talus?,Between Tibialis Anterior and Posterior Tibialis,,footankle,ankle,,,,footankle,ankle,,,
What Modification to the Anteromedial Approach to the Talus can be used to Preserve the Deltoid ligament?,Medial Malleolar Osteotomy,(And thus the deltoid branch of the PTA),footankle,ankle,,,,footankle,ankle,,,osteotomy
What is the Interval for the Anterolateral Approach to the Talus?,"between Tibia and Fibula Proximally, in Line with 4th Ray",Need to Split the EDB,footankle,ankle,,,,footankle,ankle,,,
"For Comminuted Talar Neck fractures, What Surgical Technique can be utilized to Prevent Varus Collapse?",Mini Fragment plates in Comminuted Fractures to Buttress against varus collapse,,footankle,ankle,,,,footankle,ankle,,,
"For Talar Neck fractures, What is the Postoperative Weight-Bearing status after ORIF?",NWB 10-12 Weeks,,footankle,foot,,,orif,footankle,foot,,,
"For Talar Neck fractures, What is the overall Rate of Osteonecrosis (including ALL Subtypes)?",31%,,footankle,ankle,,,,footankle,ankle,,,
What is the Incidence of Tibiotalar Arthritis following Talar Neck Fractures?,33%,,trauma,ankle,,,,trauma,ankle,,,
"For Talar Neck fractures, What is the most Common Direction of Chronic Malunion?",Varus Malunion (25-30%),Causes Decreased Eversion & Supination Deformity → Patient Ambulates on Lateral Column of Foot,footankle,ankle,,,,footankle,ankle,,,
What is the Treatment for Varus Malunion of Talar Neck fractures?,Medial Opening Wedge Osteotomy of Talar Neck,Causes Decreased Eversion & Supination Deformity → Patient Ambulates on Lateral Column of Foot,footankle,ankle,,,,footankle,ankle,,,osteotomy
Varus Malunion of Talar Neck fractures Leads to a Decrease in which Foot/Ankle Motion?,Decreased Subtalar Eversion,Decreased Motion with Locked Midfoot and Hindfoot  Will have a Supination Deformity,footankle,ankle,,,,footankle,ankle,,,
Dorsal Malunion of Talar Neck fractures Leads to a Decrease in which Foot/Ankle Motion?,Limited Dorsiflexion & Impingement of the Dorsal Beak,Treatment: Resection of Talar Neck,footankle,ankle,,,,footankle,ankle,,,
What is the Treatment for Dorsal Malunion of Talar Neck fractures?,Resection of Talar Neck,Limited Dorsiflexion & Impingement of the Dorsal Beak,footankle,ankle,,,,footankle,ankle,,,
Should Closed Talar Neck fractures be Treated with Immediate or Delayed ORIF?,DELAYED,"Delayed ORIF (if Closed) allows for Soft Tissue Rest & is associated w/ Lower Rates of Infection, Skin Necrosis, and Dehiscence WITHOUT an Increased Risk of Osteonecrosis",footankle,ankle,,,orif,footankle,foot/ankle,foot/ankle,,
What is the Blood Supply to the Talar Body?,"Main: Artery of the Tarsal Canal (Lateral 2/3s of Body) Accessory: Deltoid branch (Medial 1/3), Peroneal/Posterior Tib Anastomosis (Posterior Facet)",,footankle,foot,,,,footankle,foot,,,
What is the Blood Supply to the Talar Head?,Superomedial: Anterior Tibial a. (Dorsalis Pedis) Inferolateral: Arteries of the Tarsal Sling,"The artery of the sinus tarsi, a branch of the peroneal artery, runs from lateral to medial inferior to the talar neck and eventually anastomoses with the artery of the tarsal canal to form a vascular “sling” beneath the neck of the talus",footankle,foot,,,,footankle,foot,,,
What Percent of Talus fractures Involve the Body?,13-23%,,footankle,foot,,,,footankle,foot,,,
What Percent of Talus fractures Involve the Lateral Process?,10.4%,,footankle,foot,,,,footankle,foot,,,
What Percent of Talus fractures Involve the Head?,Minimal,,footankle,foot,,,,footankle,foot,,,
What is the Indication for Nonoperative Management (Short Leg Cast x 6 weeks) of Talus Fractures (Other than Neck)?,Nondisplaced Fractures (<2 mm),,trauma,foot,,,,trauma,foot,,,
What is the Indication for ORIF/Kirschner Wire Fixation of Talus Fractures (Other than Neck)?,Displaced Fractures (>2 mm),,trauma,ankle,,,orif,trauma,ankle,,,
What is the Indication for Fragment Excision of Talus Fractures (Other than Neck)?,Comminuted Lateral Process fractures   Comminuted Posterior Process fractures  Nonunions of Posterior Process fractures,,footankle,hip,,,,footankle,talus,talus,,
What Percent of Patient with Lateral Process Talus fractures go on to Develop Subtalar Arthritis?,45% (Treated Operatively or Nonop),,footankle,ankle,,,,footankle,ankle,,,
What is the Mechanism of Injury in Lateral Process Talus Fractures?,"Forced Dorsiflexion, Axial Loading, and Inversion with External Rotation",,footankle,ankle,,,,footankle,ankle,,,
What is the Incidence of Carpal Tunnel Syndrome in the General Population?,0.1-10%,,hand,wrist,,,,hand,wrist,,,
What are the 5 Primary Risk Factors for Carpal Tunnel Syndrome?,Female sex Obesity Pregnancy Hypothyroidism Rheumatoid Arthritis,,hand,wrist,,,,hand,wrist,,,
What are the 2 Common Mechanisms that can Contribute to Carpal Tunnel Syndrome?,"Exposure to Repetitive Motions and Vibrations Certain Athletic Activities - Cycling, Tennis, Throwing",,hand,wrist,,,,hand,wrist,,,
"With Carpal Tunnel Syndrome, What are the 3 most Common Causes of Nerve Compression?","Pathologic (Inflamed) Synovium - most common cause of idiopathic CTS Repetitive motions in a patient with Normal Anatomy Space Occupying Lesions (e.g., Gout)",,hand,wrist,,,,hand,wrist,,,
What 2 Structures is the Palmar Cutaneous branch of the Median nerve Located Between at the Wrist?,Lies between PL and FCR at level of the Wrist Flexion Crease,,hand,wrist,,,,hand,anterior wrist,anterior wrist,,
At what Level (Proximal to Distal) is the Carpal Tunnel Most Narrow?,Level of the Hook of the Hamate,,hand,wrist,,,,hand,wrist,,,
What are the 3 Most Common Symptoms of Carpal Tunnel Syndrome?,Numbness and Tingling in Radial 3-1/2 Digits Clumsiness Pain and Paresthesias that AWAKEN Patient at Night,,hand,wrist,,,,hand,wrist,,,
What Test is most Specific for Carpal Tunnel Syndrome?,Self Administered Hand Diagram (76%),,hand,wrist,,,,hand,wrist,,,
What Test is most Sensitive for Carpal Tunnel Syndrome?,Carpal Tunnel Compression test (Durkan's test),,hand,wrist,,,,hand,wrist,,,
How is Phalen's Test for Carpal Tunnel Syndrome Performed?,Wrist Volar Flexion against Gravity for ~60 sec produces Symptoms,,hand,wrist,,,,hand,wrist,,,
What Test is Most Sensitive for EARLY Diagnosis of Carpal Tunnel Syndrome?,Semmes-Weinstein Testing,Measures a Single Nerve Fiber Innervating a Receptor or Group of Receptors,hand,wrist,,,,hand,wrist,,,
"For Carpal Tunnel Syndrome, What are the 6 Primary Diagnostic Criteria?",Numbness and Tingling in the Median nerve Distribution Nocturnal Numbness Weakness and/or Atrophy of the Thenar musculature Positive Tinel sign Positive Phalen test Loss of 2-Point Discrimination,,hand,wrist,,,,hand,wrist,,,scr
What are 3 Histologic Findings of a Nerve with Carpal Tunnel syndrome?,"Edema, Fibrosis, and Vascular Sclerosis are Most Common findings Scattered Lymphocytes Amyloid Deposits shown with Special Stains in Some Cases",,hand,wrist,,,,hand,wrist,,,
What are 2 Nonoperative Modalities useful in Treatment of Carpal Tunnel syndrome?,Night Splints (Good for patients with Nocturnal Symptoms Only) Activity Modification (Avoid Aggravating Activity),,hand,wrist,,,,hand,wrist/hand,wrist/hand,,
"With Carpal Tunnel syndrome, what are 2 Indications for Steroid Injection?",Adjunctive Nonoperative Treatment Diagnostic Utility in Clinically and Electromyographically Equivocal cases,,hand,wrist,,,,hand,wrist,,,
"With Carpal Tunnel syndrome, What is the Significance of FAILURE of Symptom Improvement after Steroid Injection?",Poor Prognostic Factor - Surgery is LESS Effective in these patients,,hand,wrist,,,,hand,wrist,,,
What are 2 Indications for Carpal Tunnel Release?,Failure of Nonoperative treatment (including Steroid injections) Acute CTS following ORIF of a Distal Radius fx,,hand,wrist,,,orif,hand,wrist,,,
When does Pinch Strength Return on Average after Carpal Tunnel Release?,6 WEEKS,,hand,wrist,,,,hand,wrist,,,carpal tunnel release
When does Grip Strength Return on Average after Carpal Tunnel Release?,Expected to return to 100% preoperative levels by 12 weeks postop,,hand,wrist,,,,hand,wrist,,,carpal tunnel release
What is the Rate of Continued Symptoms at 1 Year after Carpal Tunnel Release?,2% in Moderate and 20% in Severe CTS,,hand,wrist,,,,hand,wrist,,,carpal tunnel release
What Percentage of patients will Improve after REVISION Carpal Tunnel release?,25% will have Complete Relief 50% SOME Relief 25% will have NO relief,,hand,wrist,,,,hand,wrist,,,carpal tunnel release
What is the Most Common Cause of Progressive Thenar Atrophy after Carpal Tunnel Release?,Unrecognized Transligamentous Motor Branch of the Median nerve,,hand,wrist,,,,hand,wrist,,,carpal tunnel release
What are 3 Good Prognostic Indicators of Successful Carpal Tunnel Release?,Night Symptoms Short Incisions Relief of Symptoms with Steroid Injections,,hand,wrist,,,,hand,wrist,,,carpal tunnel release
What is the Definition of Trigger Finger / Thumb?,"Inhibition of Smooth Tendon Gliding due to Mechanical Impingement at the Level of the A1 Pulley that Causes Progressive Pain, Clicking, Catching, and Locking of the Digit",,hand,hand,,,,hand,hand,,trigger finger,
What is the Incidence of Trigger Finger in the General Population?,2-3%,,hand,hand,,,,hand,hand,,trigger finger,
What is the Incidence of Trigger Finger Among Diabetics?,10%,,hand,hand,,,,hand,hand,,trigger finger,
What is the Most Common Gender and Age Range for Trigger Finger?,Females >50 years old,,hand,hand,,,,hand,hand,,trigger finger,
Which 2 Fingers are Most Commonly Affected by Trigger Finger?,Ring and Long Fingers,,hand,hand,,,,hand,hand,,trigger finger,
"In Trigger Finger, what Type of Histologic Change occurs?",Fibrocartilaginous Metaplasia of Tendon and/or Pulley,,hand,wrist,,,,hand,hand/wrist,hand/wrist,trigger finger,
"In Trigger Finger, what Type of Collagen is Increased?",Type III,,hand,hand,,,,hand,hand,,trigger finger,
What is the Pathophysiology behind the Development of Trigger Finger in Diabetics?,Chronic Hyperglycemia Creates Collagen Cross-Links,Impairs Collagen Degradation,hand,hand,,,,hand,hand,,trigger finger,
Which Pulley in addition to A1 is often Affected in Trigger Thumb?,May have a 4th Pulley (Variable Annular Pulley) causing Stenosis in up to 75% of patients,,hand,hand,,,,hand,hand,,,
60% of patients with Trigger Digits often have which other Hand/Wrist Pathology?,Carpal Tunnel Syndrome,,hand,wrist,,,,hand,wrist,,,
Do Diabetics with Trigger Finger Generally have Unilateral or Bilateral Disease?,Bilateral Hand & Multiple Digit involvement is more common,,hand,hand,,,,hand,hand,,trigger finger,
"With Trigger Finger, How many Slips of FDS may need to be Released to Allow for Smooth Tendon Gliding?",ONE,,hand,hand,,,,hand,hand,,trigger finger,
"""With Trigger Finger, which Joint often Becomes """"Locked"""" in Flexion?","PIP""",,hand,hand,,,,hand,proximal interphalangeal (pip) joint,proximal interphalangeal (pip) joint,trigger finger,
"With Trigger Finger, what is the Provocative Test?",Flexion & Extension may Reproduce Symptoms,,hand,hand,,,,hand,hand,,trigger finger,
How is Lumbrical Plus Finger Differentiated from Trigger Finger?,Paradoxical Extension while trying to Flex the Digit,,hand,hand,,,,hand,hand,,trigger finger,
What is the 1st Line of Treatment for Trigger Finger?,"Splinting, Activity Modification, NSAIDs",Relief in 40% to 97% of cases,hand,hand,,,,hand,hand,,trigger finger,
"With Trigger Finger, for Which Digits are Corticosteroid Injections an Appropriate Initial Treatment?",ALL,Relief in 60-90% of cases,hand,hand,,,,hand,hand,,trigger finger,
"With Trigger Finger, Which Patient Population is LESS Likely to Respond to a Corticosteroid injection?",Diabetics,,hand,hand,,,,hand,hand,,trigger finger,
"With Trigger Finger, What is the Success Rate for Percutaneous Release of the A1 Pulley?",>90%,Use of Ultrasound may provide Higher Success Rate  VUMEDI: Trigger Finger Release VUMEDI: Ultrasound-Guided Trigger Finger Release,hand,hand,,,,hand,hand,,trigger finger,trigger finger release
"With Trigger Finger, Which Patient Population has a Higher Recurrence Rate Following Percutaneous Release of the A1 Pulley?",Diabetics,VUMEDI: Trigger Finger Release VUMEDI: Ultrasound-Guided Trigger Finger Release,hand,hand,,,,hand,hand,,trigger finger,trigger finger release
"With Trigger Finger, what is a Potential Benefit of Percutaneous Release of the A1 Pulley vs Open Release?",Potential Earlier Return to Work,VUMEDI: Trigger Finger Release VUMEDI: Ultrasound-Guided Trigger Finger Release,hand,hand,,,,hand,hand,,trigger finger,trigger finger release
What is the Gold Standard Operative Intervention for Trigger Finger?,Open Release,"High Success Rate, >90% VUMEDI: Trigger Finger Release VUMEDI: Ultrasound-Guided Trigger Finger Release",hand,hand,,,,hand,hand,,trigger finger,trigger finger release
"With Trigger Finger, what is the Indication to Release 1 Slip of FDS in Addition to the A1 Pulley?",Persistent/Recurrent Triggering after A1 Pulley Release,VUMEDI: Trigger Finger Release VUMEDI: Ultrasound-Guided Trigger Finger Release,hand,hand,,,,hand,hand,,trigger finger,trigger finger release
"With Trigger Finger, what Patients may Respond to an Isolated FDS Release WITHOUT a Concomitant A1 Pulley Release?",Rheumatoid Arthritis::and why,Sparing of A1 Pulley may Prevent Exacerbation of Ulnar Drift at the MCP joint,hand,hand,,,,hand,hand,,trigger finger,
How do Pediatric Trigger Fingers often Present?,"Notta's Node (Proximal to A1 Pulley), Flexion Contracture, and Triggering",POSNA: Pediatric Trigger Finger Release,peds,hand,,,,peds,hand,,trigger finger,trigger finger release
At what Age is Operative Intervention for Pediatric Trigger Fingers Indicated?,2-4 Years to Prevent Interphalangeal Joint Contracture,POSNA: Pediatric Trigger Finger Release,peds,hand,,,,peds,hand,,trigger finger,trigger finger release
Which 2 Structures may also need to be Released in Addition to the A1 Pulley when Treating Pediatric Trigger Thumbs?,Remaining FDS Slip and A3 Pulley,POSNA: Pediatric Trigger Finger Release,hand,hand,,,,hand,palm,palm,trigger finger,trigger finger release
Which 3 Structures may also need to be Released in Addition to the A1 Pulley with Open Trigger Finger Release?,Tight Band of Superficial Aponeurosis Proximal to A1 Pulley (A0 Pulley) 1 or Both Limbs of the FDS (Sublimus) Tendon  Additional Pulleys including A3,VUMEDI: Trigger Finger Release,hand,hand,,,,hand,flexor tendon sheath,flexor tendon sheath,trigger finger,trigger finger release
What are 3 Factors that Predispose Geriatric Patients to Atlas Fractures & Transverse Ligament Injuries?,Osteoarthritic Bone changes Limited Mobility Gait Imbalance,,spine,cervical spine,,,,spine,cervical spine,,,
What are the 4 Injury Mechanisms of Atlas Fractures & Transverse Ligament Injuries?,Hyperextension  Lateral Compression  Lateral Distraction  Axial Compression,,spine,cervical spine,,,,spine,cervical spine,,,
What type of Atlas Fracture does Hyperextension Lead to?,Posterior Arch injury,Higher Occurence with Low-Energy Falls Higher Association with Odontoid Fractures,spine,cervical spine,,,,spine,cervical spine,,,
A Jefferson Burst fracture is caused by what Type of Force Vector?,Axial Compression,Blow to the Vertex,spine,cervical spine,,,,spine,cervical spine,,,
What are other Commonly Associated Injuries with Atlas Fractures & Transverse Ligament Injuries?,Spine Fracture (50% have an associated spine injury) Closed Head Injuries,Risk of Neurologic injury is Low,spine,cervical spine,,,,spine,cervical spine,,,
Why is the Risk of Neurologic injury Low with Atlas Fractures & Transverse Ligament Injuries?,Injuries tend to Increase the Area Available for Spinal Cord at C1,Space Available for Cord (SAC) - AKA Posterior Atlanto-Dens Interval or PADI - <13 mm associated with Increased Risk of Neurologic Injury,spine,spine,,,,spine,c1 (atlas),c1 (atlas),,
Where is the Apical Ligament (Cervical Spine) Located?,Runs Vertically between the Odontoid and Foramen Magnum,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Tectorial Membrane (Cervical Spine)?,Connects the Posterior Body of the Axis to the Anterior Foramen Magnum and is the Cephalad Continuation of the PLL,,spine,cervical spine,,,,spine,cervical spine,,,
What are 2 Common High-Energy Mechanisms for Atlas Fractures?,MVC Fall from Ladder,,trauma,cervical spine,,,,trauma,cervical spine,,,
What is a Common Low-Energy Mechanism for Atlas Fractures?,Ground Level Fall - Elderly Patients,,spine,cervical spine,,,,spine,cervical spine,,,
What are 4 Common Symptoms Associated with Atlas Fractures?,Neck Pain Cervical Spinal Muscle Spasms Limited Neck Motion C2 Neuralgia/Palsy,Occipital Neuralgia  Occipital Numbess Occipital Alopecia (Rare),spine,cervical spine,,,,spine,cervical spine,,,
Why would you Obtain Flexion-Extension views when Assessing Atlas Fractures?,Identify LATE Instability following Nonoperative treatment,,spine,cervical spine,,,,spine,cervical spine,,,
"With Atlas Fractures, What Ligaments are Injured with an ADI > 5 mm?","3-5 mm?  3-5 mm = Injury to Transverse Ligament with INTACT Alar and Apical Ligaments > 5 mm = Injury to Transverse, Alar Ligament, and Tectorial Membrane",Measured on Lateral radiographs and Flexion-Extension views  Lateral X-Ray showing ADI >5 mm:,spine,cervical spine,,,,spine,cervical spine,,,
What Study would you Order to Confirm Pseudospread of the Atlas in a Pediatric Patient?,CT Scan with Thin Slices Parallel to the C1 Arch,Represents Asymmetric Growth of the Atlas Compared to the Axis Greater Atlantal Overhang of the Lateral Masses  As seen on AP Radiograph:,peds,cervical spine,,,,peds,cervical spine,,,
What are 5 Findings that are Present on CT in patients with Atlas Fractures?,Fractures Involving the Anterior and Posterior Ring Lateral Mass Fractures Increased Radial Displacement of the C1 Fracture Fragments (Unstable) Bone Avulsion injuries of the Tubercle (TAL Insertion) Sagittal Split fractures of the Lateral Mass,Highly Sensitive at detecting Fractures Lower Sensitivity than MRI at Detecting TAL injuries,spine,cervical spine,,,,spine,cervical spine,,,
What are 4 Indications to treat Atlas Injuries with Immobilization Alone?,Stable Type I fx (Intact Transverse Ligament) Stable Jefferson fx (Type II) (Intact Transverse Ligament) Stable Type III (Intact Transverse Ligament) Dickman Type II TAL Injuries,,spine,cervical spine,,,,spine,cervical spine,,,
What is a Potential Benefit of C1 Internal Fixation of Atlas Injuries?,Preserves C1-C2 Motion,,spine,cervical spine,,,,spine,cervical spine,,,
What is the Indication for C1 Internal Fixation of Atlas Injuries?,C1 Lateral Mass Split fractures (Controversial),Described in a few small case series  further randomized trials needed to ascertain role of this treatment,spine,cervical spine,,,,spine,cervical spine,,,scr
What are 3 Fixation Techniques for C1-2 fusion?,C1 Lateral mass - C2 Pedicle Screw Construct (Harm's technique) C1-2 Transarticular Screw Placement Sublaminar Wiring,Harm's Technique:   C1-2 transarticular screws:   Sublaminar Wiring:,spine,cervical spine,,,,spine,cervical spine,,,scr
What is One Indication for the use of Occ-C2 Fusion compared to C1-2 Fusion for Atlas Fractures?,When Unable to Obtain Adequate Purchase of C1 (Comminuted C1 fracture),,spine,spine,,,,spine,occiput-c1,occiput-c1,,
What is the Drawback to Performing an Occ-C2 fusion for Atlas Fractures?,Significant LOSS of Motion,,spine,cervical spine,,,,spine,cervical spine,,,
What are the Fixation Methods used for Occ-C2 fusion?,Occipital Plate C1 Lateral Mass Screws C2 Pedicle Screws,,spine,spine,,,,spine,craniovertebral junction,craniovertebral junction,,scr
How much Range of Motion is Lost with a C1-2 Arthrodesis?,Loss of ~50% of Cervical Rotation,,spine,cervical spine,,,,spine,cervical spine,,,
How much Range of Motion is Lost with a Occ-C2 Arthrodesis?,Loss of ~50% of Cervical Flexion,,spine,cervical spine,,,,spine,cervical spine,,,
Where are the Alar Ligaments (Cervical Spine) Located?,Sides of the Odontoid to the Occipital Condyles,Relatively Strong and Contribute to Occipitocervical Stability,spine,cervical spine,,,,spine,cervical spine,,,
