question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What two early passive motion protocols are commonly used following flexor tendon repair?,Duran protocol - patient assisted flexion Kleinert protocol - dynamic splint assisted flexion,,hand,hand,,,,hand,hand::conditions::handconditionsflexortendoninjuries,hand::conditions::handconditionsflexortendoninjuries,,
What is a Jersey finger?,Avulsion injury of the FDP tendon from the distal phalanx,,hand,hand,,,,hand,hand::conditions::handconditionsflexortendoninjuries,hand::conditions::handconditionsflexortendoninjuries,,
What is the classification for Jersey fingers?,Leddy and Packer Classification,"""Type I: FDP retraction to the palm Type II: Retraction to PIPJ Type III: Retraction to DIPJ Type IV: """"Double avulsion"""" - Osseous avulsion from the distal phalanx with tendon avulsion from the osseous fragment Type IV: Comminuted bony avulsion""",hand,hand,,,,hand,hand::conditions::handconditionsflexortendoninjuries,hand::conditions::handconditionsflexortendoninjuries,,
What are the zones of extensor tendon injuries?,Zone 1: DIPJ and distal phalanx Zone 2: Middle phalanx Zone 3: PIPJ Zone 4: Proximal phalanx Zone 5: MCPJ Zone 6: Metacarpal Zone 7: Radiocarpal Zone 8: Distal forearm,,hand,forearm,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,,
In which zone is the extensor tendon most commonly injured?,Zone 6 - metacarpal,,hand,wrist,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,,
What does the Elson test assess for?,Integrity of the central slip,"Test is POSITIVE if the patient has a weak extension at the PIP joint with (hyper)extension at the DIP.Test is NEGATIVE if the patient has strong extension at the PIP joint, while the DIP remains floppy.",hand,hand,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,,
What is a Mallet finger?,Disruption of the terminal extensor tendon on the distal phalanx,,hand,hand,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,mallet finger,
What is the classification for Mallet fingers?,Doyle's Classification,Type I: Closed injury ± fracture Type II: Open injury Type III: Open injury with loss of tendon substance Type IV: Fracture -IV A: Physeal injury -IV B: 20-30% articular surface involvement -IV C: >50% articular surface involvement,hand,hand,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,mallet finger,
What is the name of the splint used to treat Mallet fingers?,Stax splint,,hand,hand,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,mallet finger,
What are the surgical indications (2) for repair of bony mallet injuries?,DIPJ subluxation Bony avulsion involving >50% of the joint surface,NIO talked about this!,hand,hand,,,,hand,hand::conditions::handconditionsextensortendoninjuries,hand::conditions::handconditionsextensortendoninjuries,,
What is the classification for CMC arthritis of the thumb?,Eaton and Littler Classification,"Stage I: Widening of joint space, <1/3 subluxation Stage II: Osteophytes <2 mm, 1/3 subluxation Stage III: Osteophytes >2 mm, significant joint space narrowing, >1/3 subluxation Stage IV: Erosion of scaphotrapezial joint",hand,wrist,,,,hand,hand::conditions::handconditionscarpometacarpalarthritis,hand::conditions::handconditionscarpometacarpalarthritis,,
What physical exam finding is indicative of basilar thumb arthritis?,CMC grind test - pain with axial loading and circumduction,,hand,wrist,,,,hand,hand::conditions::handconditionscarpometacarpalarthritis,hand::conditions::handconditionscarpometacarpalarthritis,,
Successful surgical management of basilar thumb arthritis involves the removal of which bone?,Trapezium,,hand,wrist,,,,hand,hand::conditions::handconditionscarpometacarpalarthritis,hand::conditions::handconditionscarpometacarpalarthritis,,
What structures make up the borders of the carpal tunnel?,Roof: Transverse carpal ligament Floor: Proximal carpal row Ulnar: Hook of hamate and pisiform Radial: Trapezium and Scaphoid,,,hand,,,,,hand,,,
What are the contents of the carpal tunnel?,FDS tendons x4 FDP tendons x4 FPL Median nerve,,,hand,,,,,hand,,,
What is the most radial structure within the carpal tunnel?,FPL,,,hand,,,,,hand,,,
How are the FDS tendons oriented within the carpal tunnel?,The tendons to the middle and ring fingers are superficial to the tendons for the index and small fingers,,,hand,,,,,hand,,,
Which nerve is occasionally present within the transverse carpal ligament?,Recurrent motor branch of the median nerve,,,hand,,,,,hand,,,
In what percentage of patients is the recurrent motor branch of the median nerve transligamentous?,20%,,,hand,,,,,hand,,,
What is the function of the sagittal band?,Keeps the extensor mechanism centered over the digit,"*Patients with a sagittal band injury typically resent with an inability to actively extend the MCP joint, but can maintain MCP extension after passive extension *Present with tendon subluxation *The following Yoke splint is used to treat these nonoperatively",,hand,,,,,hand,,,
What minimizes the extensor tendon retraction following rupture?,Juncturae tendinum,,,hand,,,,,hand,,,
How are the bones of the proximal carpal row oriented from radial to ulnar?,"Scaphoid, Lunate, Triquetrium, Pisiform",Remember - So Long To Pinky!,,hand,,,,,hand,,,
How are the bones of the distal carpal row oriented from ulnar to radial?,"Hamate, Capitate, Trapezoid, Trapezium",Remember - Here Comes The Thumb,,hand,,,,,hand,,,
What is the main blood supply to the scaphoid?,Dorsal carpal branch of the radial artery,,,hand,,,,,hand,,,
What are the borders of the anatomical snuffbox?,Ulnar border: EPL Radial border: APL and EPB Proximal border: Radial styloid,,,hand,,,,,hand,,,
What structures make up the borders of Guyon's canal?,Floor: Transverse carpal ligament Roof: Volar carpal ligament Radial: Hook of the Hamate Ulnar: Pisiform,,,hand,,,,,hand,,,
What are the zones of the ulnar nerve as it traverses Guyon's canal?,Zone I: Proximal to bifurcation (motor and sensory) Zone II: Deep motor branch Zone III: Superficial sensory branch,,,hand,,,,,hand,,,
What area of the volar palm is susceptible to lunate dislocation?,Space of Poirier,"Radiopaedia: The space of Poirier is an area of the palmar wrist capsule, between the radial and ulnar capsular ligaments. It lies in the interval between the capitate and lunate and has poor ligamentous support, hence is associated with perilunate dislocation/instability.",,hand,,,,,hand,,,
Where does the FCR tendon insert?,Base of the 2nd metacarpal,,,hand,,,,,hand,,,
Where does the FCU tendon insert?,"Pisiform, Hook of hamate, and Base of 5th metacarpal",,,hand,,,,,hand,,,
How many compartments are in the hand and where are they?,10::How many?    Hypothenar Thenar Adductor Pollicis Dorsal Interosseous x4 Volar Interosseous x3::Locations,,,hand,,,,,hand,,,
"""Which nerve is evaluated with the """"OK"""" sign?","Anterior interosseous nerve""",,,hand,,,,,hand,,,
What muscles (3) are innervated by the AIN?,Pronator quadratus FPL FDP to the index and middle fingers,,,hand,,,,,hand,,,
"""Which nerve is evaluated with the """"thumbs up"""" sign?","Posterior Interosseous Nerve""",,,hand,,,,,hand,,,
Which nerve is evaluated with adduction and abduction of the fingers?,Ulnar nerve,,,hand,,,,,hand,,,
Where do the lumbrical muscles originate?,FDP tendons,,,hand,,,,,hand,,,
What is the function of the lumbrical muscles?,Flexion of the MCP joints Extension of the IP joints,,,hand,,,,,hand,,,
What is the relationship of the lumbricals and the interossei to the transverse metacarpal ligament?,Lumbricals are Volar Interossei are Dorsal,Remember - Las Vegas Remember - ID,,hand,,,,,hand,,,
Where do the FDS tendons insert?,Middle phalanx,,,hand,,,,,hand,,,
Which tendon flexes the proximal interphalangeal (PIP) joint?,FDS,,,hand,,,,,hand,,,
Where do the FDP tendons insert?,Distal phalanx,,,hand,,,,,hand,,,
Which tendon flexes the distal interphalangeal (DIP) joint?,FDP,,,hand,,,,,hand,,,
Does FDS or FDP have a common muscle belly in the forearm?,FDP,,,hand,,,,,hand,,,
What is the name of the anatomic location where the FDP tendon passes through the FDS tendon?,Camper's chiasm,,,hand,,,,,hand,,,
What is the location of the Camper's chiasm?,At the level of the proximal phalanx,,,hand,,,,,hand,,,
What are the two extensor tendons of the index finger?,EIP and index branch of EDC,,,hand,,,,,hand,,,
Which index finger extensor tendon is more ulnar?,EIP,,,hand,,,,,hand,,,
Which artery primarily supplies the superficial arch of the hand?,Ulnar artery,,,hand,,,,,hand,,,
"Most commonly, which artery predominately supplies the hand?",Ulnar artery,,,hand,,,,,hand,,,
Which artery primarily supplies the deep arch of the hand?,Radial artery,,,hand,,,,,hand,,,
Which vascular arch is more distal in the palm?,Superficial,,,hand,,,,,hand,,,
What is Kaplan's cardinal line?,A line extending from the ulnar side of the abducted thumb to the hook of the hamate,,,hand,,,,,hand,,,
How far are the superficial and deep palmar arches from Kaplan's cardinal line?,Superficial: 15 mm distal Deep: 7 mm distal,,,hand,,,,,hand,,,
How far are the superficial and deep palmar arches from the wrist crease?,Superficial: 5 cm distal Deep: 4 cm distal,,,hand,,,,,hand,,,
The digital arteries typically arise from which palmar arch?,Superficial,,,hand,,,,,hand,,,
What is the relationship between the digital arteries and nerves in the palm?,Arteries are volar to the nerves,,,hand,,,,,hand,,,
What is the relationship between the digital arteries and nerves in the digits?,Arteries are dorsal to the nerves,This important to know what is out with finger lacerations...  Just think Arteries Digits (dorsal),,hand,,,,,hand,,,
Which digital artery is predominant?,Predominant vessel is closer to midline,Index and Middle: Ulnar digital artery Ring and Small: Radial digital artery,,hand,,,,,hand,,,
Which digital cutaneous ligament (Cleland's or Grayson's) is palmar to the digital nerve?,Grayson's,Remember - CD (Cleland's is Dorsal),,hand,,,,,hand,,,
Is Cleland's or Grayson's ligament involved in Dupuytren's disease?,Grayson's ligament,,,hand,,,,,hand,,,
How many pulleys are in the fingers?,8 pulleys,5 annular pulleys 3 cruciate pulleys,,hand,,,,,hand,,,
How are the pulleys of the finger ordered from proximal to distal?,"A1, A2, C1, A3, C2, A4, C3, A5",,,hand,,,,,hand,,,
"Which pulleys are located over the MCPJ, PIPJ, and DIPJ?",MCPJ: A1 PIPJ: A3 DIPJ: A5,,,hand,,,,,hand,,,
Which two pulleys are the most crucial in preventing bowstringing of the fingers?,A2 and A4,,,hand,,,,,hand,,,
Where on the finger are the A2 and A4 pulleys located?,A2: Proximal aspect of the proximal phalanx A4: Middle aspect of the middle phalanx,,,hand,,,,,hand,,,
What is the most important pulley in the thumb?,Oblique pulley,,,hand,,,,,hand,,,
"When evaluating the flexion cascade, the fingertips should all point towards what bony landmark?",Scaphoid tubercle,,,hand,,,,,hand,,,
Where does the central slip of the finger insert?,Dorsal middle phalanx,,,hand,,,,,hand,,,
Which structure may prevent the reduction of an interphalangeal joint dislocation?,Volar plate,,,hand,,,,,hand,,,
Which two ligaments create the ulnar collateral ligament (UCL) of the thumb?,Proper and Accessory collateral ligaments,,,hand,,,,,hand,,,
Where do the collateral ligaments of the finger insert?,Proper: Base of the phalanx Accessory: Volar plate,,,hand,,,,,hand,,,
What is a Martin-Gruber anastamosis?,Nerve communication between the median and ulnar nerves in the forearm,,,hand,,,,,hand,,,
What is a Riches-Cannieu anastomosis?,Nerve communication between the recurrent branch of the median nerve and the deep branch of the ulnar nerve in the hand,,hand,hand,,,,hand,hand,,,
What nerve is at risk with ORIF of the fibula?,Superficial peroneal,,trauma,ankle,,,orif,trauma,footankle,footankle,,
Where does the superficial peroneal nerve cross the fibula?,3-12 cm proximal to the distal fibula,,footankle,ankle,,,,footankle,footankle,footankle,,
In which direction does the superficial peroneal nerve cross the fibula?,Posterior to anterior,,footankle,ankle,,,,footankle,footankle,footankle,,
What nerve is at risk with open Achilles tendon repair?,Sural,,footankle,ankle,,,,footankle,footankle,footankle,,
Where does the sural nerve cross the Achilles tendon?,10 cm proximal to its insertion on the calcaneus,,footankle,ankle,,,,footankle,footankle,footankle,,
What tendon is directly medial to the Achilles tendon?,Plantaris tendon,"""Note: Do not get tricked into thinking this is a nerve intraoperatively - often referred to as the """"freshman nerve""""""",footankle,ankle,,,,footankle,footankle,footankle,,
What happens to the mortise as the ankle goes from plantarflexion to dorsiflexion?,Mortise widens,Mortise = clear space,footankle,ankle,,,,footankle,footankle,footankle,,
What ligaments (5) make up the syndesmosis?,Anterior inferior tibiofibular ligament (AITFL) Posterior inferior tibiofibular ligament (PITFL) Interosseous ligament (IOL) Transverse tibiofibular ligament (TTFL) Inferior transverse ligament (ITL),,footankle,ankle,,,,footankle,footankle,footankle,,
In which direction is the ankle syndesmosis most unstable?,Anterior to posterior,,footankle,ankle,,,,footankle,footankle,footankle,,
What are the primary ligaments (2) of the medial ankle?,Deltoid ligament Calcaneonavicular (Spring) ligament,,footankle,ankle,,,,footankle,footankle,footankle,,
What are the layers of the deltoid ligament?,Superficial deltoid Deep deltoid,Superficial deltoid - attaches to the anterior colliculus of the tibia and spans the tibiotalar and subtalar joints Deep deltoid - originates from the posterior colliculus of the tibia and only spans the tibiotalar joint,footankle,ankle,,,,footankle,footankle,footankle,,
What are the primary ligaments (4) of the lateral ankle?,Anterior inferior talofibular ligament (ATFL) Posterior talofibular ligament (PTFL) Calcaneal fibular ligament (CFL) Lateral talocalcaneal ligament (LTCL),,footankle,ankle,,,,footankle,footankle,footankle,,
Which lateral ankle ligament is the weakest and most likely to be injured?,ATFL,Remember: Always Tears First,footankle,ankle,,,,footankle,footankle,footankle,,
Which lateral ankle ligament is the strongest?,PTFL,,footankle,ankle,,,,footankle,footankle,footankle,,
Which lateral ankle ligament is the primary restraint to inversion while the foot is in plantarflexion?,ATFL,,footankle,ankle,,,,footankle,footankle,footankle,,
Which lateral ankle ligament is the primary restraint to inversion while the foot is in a neutral or dorsiflexed position?,CFL,,footankle,ankle,,,,footankle,footankle,footankle,,
Where does the posterior tibialis tendon insert?,Navicular/medial cuneiform,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the function of the posterior tibialis tendon?,Inversion and plantarflexion,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the major antagonist to the posterior tibialis tendon?,Peroneus brevis,,footankle,ankle,,,,footankle,footankle,footankle,,
Where does the tibialis anterior tendon insert?,Medial cuneiform and 1st metatarsal,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the function of the tibialis anterior tendon?,Dorsiflexion and inversion,,footankle,ankle,,,,footankle,footankle,footankle,,
Where does the peroneus longus insert?,1st Metatarsal and Medial Cuneiform,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the function of the peroneus longus tendon?,Plantarflexion and eversion,,footankle,ankle,,,,footankle,footankle,footankle,,
Where does the peroneus brevis insert?,5th metatarsal base,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the function of the peroneus brevis tendon?,Plantarflexion and eversion,,footankle,ankle,,,,footankle,footankle,footankle,,
How are the peroneal tendons oriented at the level of the ankle joint?,Peroneus brevis is anterior Peroneus longus is posterior,Remember: Brevis is closer to Bone (fibula),footankle,ankle,,,,footankle,footankle,footankle,,
What is the name of the recesses on the distal tibia where the fibula sits?,Incisura fibularis,,trauma,ankle,,,,trauma,footankle,footankle,,
How many muscles or tendons attach to the talus?,Zero ;),,footankle,ankle,,,,footankle,footankle,footankle,,
What percentage of the talus is covered with cartilage?,70%,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the blood supply (3) of the talus?,Artery of the tarsal canal (from the posterior tibial artery) Anterior tibial artery Artery of the tarsal sinus (from the anterior tibial and peroneal arteries),,footankle,ankle,,,,footankle,footankle,footankle,,
What is the main blood supply to the talus?,Posterior tibial artery,,footankle,ankle,,,,footankle,footankle,footankle,,
Which branch of the artery of the tarsal canal supplies the medial talar body?,Deltoid artery,,footankle,ankle,,,,footankle,footankle,footankle,,
What structure runs between the medial and lateral tubercles of the posterior process of the talus?,FHL,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the primary motion of the subtalar joint?,Inversion and eversion,,footankle,ankle,,,,footankle,footankle,footankle,,
What are the three facets of the subtalar joint?,"Anterior, middle, and posterior",,footankle,ankle,,,,footankle,footankle,footankle,,
Which facet of the calcaneus is the largest?,Posterior,,footankle,ankle,,,,footankle,footankle,footankle,,
"With the extensile lateral approach to the calcaneus, which structures (2) are at risk?",Sural nerve Lateral calcaneal branch of the peroneal artery,,footankle,ankle,,,,footankle,footankle,footankle,,
What are the two most common approaches to the calcaneus?,Extensile lateral and sinus tarsi,Extensile Lateral  Sinus Tarsi,footankle,ankle,,,,footankle,footankle,footankle,,
Which structures (2) insert onto the base of the 5th metatarsal?,Peroneus brevis Lateral band of the plantar fascia,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the origin of the plantar fascia?,Medial calcaneal tuberosity,,footankle,ankle,,,,footankle,footankle,footankle,,
Which joints are referred to as the Chopart's joints?,Calcaneocuboid and talonavicular joints,,footankle,ankle,,,,footankle,footankle,footankle,,
The Lisfranc ligament connects which two bones?,Medial cuneiform and second metatarsal,,footankle,ankle,,,,footankle,footankle,footankle,,
Which bones make up each column of the foot?,"Medial - 1st metatarsal, medial cuneiform, and navicular Middle - 2nd and 3rd metatarsal, middle and lateral cuneiforms Lateral - 4th and 5th metatarsals and cuboid",,footankle,ankle,,,,footankle,footankle,footankle,,
Which column of the foot is most rigid?,Middle column,,footankle,ankle,,,,footankle,footankle,footankle,,
Which column of the foot is most flexible?,Lateral column,,footankle,ankle,,,,footankle,footankle,footankle,,
Which column of the foot should not be fused?,Lateral column,,footankle,ankle,,,,footankle,footankle,footankle,,
Why should the lateral column of the foot NOT be fused?,Allows for functional motion,,footankle,ankle,,,,footankle,footankle,footankle,,
Which column of the foot carries the most load with weight bearing?,Medial column,,,ankle,,,,,footankle,footankle,,
Which muscles should be tested during a neurologic exam of the foot?,Tibialis anterior - ankle dorsiflexion L4 Extensor hallicus longus (EHL) - great toe extension L5 Gastrocnemius/Soleus complex - ankle plantarflexion S1,,footankle,ankle,,,,footankle,footankle,footankle,,
What are the five sensory nerves to the foot?,Saphenous - medial foot Deep peroneal - 1st web space Superficial peroneal - dorsum of the foot Sural - lateral foot Tibial - sole of the foot,,footankle,ankle,,,,footankle,footankle,footankle,,
Which three vessels supply the foot?,Posterior tibial Anterior tibial Peroneal arteries,,,ankle,,,,,footankle,footankle,,
How many compartments are in the foot?,9,1 Medial 1 Lateral 4 Interosseous 3 Central,footankle,ankle,,,,footankle,footankle,footankle,,
The sesamoids of the hallux are contained within which tendon?,Flexor hallucis brevis (FHB),,footankle,ankle,,,,footankle,footankle,footankle,,
What is the purpose of the hallux sesamoids?,Increases mechanical advantage of the FHB,,footankle,ankle,,,,footankle,footankle,footankle,,
Which hallux sesamoid is larger?,Tibial (medial),,footankle,ankle,,,,footankle,footankle,footankle,,
Which hallux sesamoid is most commonly injured?,Tibial (medial),,footankle,ankle,,,,footankle,footankle,footankle,,
Which hallux sesamoid is most commonly bipartite?,Tibial (medial),,footankle,ankle,,,,footankle,footankle,footankle,,
Which structure glides between the hallux sesamoids?,Flexor hallucis longus (FHL),,footankle,ankle,,,,footankle,footankle,footankle,,
What structure is at risk with the medial plantar approach to the tibial sesamoid?,Medial plantar nerve,,,ankle,,,,,footankle,footankle,,
What deformity is created if both hallucis sesamoid bones are removed?,Cock up deformity of great toe,,footankle,ankle,,,,footankle,footankle,footankle,,
"What ligament is present between 2nd through 5th metatarsals, but not between the 1st and 2nd metatarsals?",Intermetatarsal ligament,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the name for the anatomic structure where the FDL and FHL tendons cross?,Knot of Henry,,footankle,ankle,,,,footankle,footankle,footankle,,
What is the classification for pilon fractures?,Ruedi and Allgower Classification,Type I: Non-displaced Type II: Displaced fracture with no comminution Type III: Comminution of the articular surface,trauma,ankle,,,,trauma,footankle,footankle,,
What are the 3 fragments typically encountered with a pilon fracture?,Medial malleolus Posterolateral fragment Anterolateral fragment,,trauma,ankle,,,,trauma,footankle,footankle,,
What is the eponym for the posterolateral fragment in the setting of a pilon fracture?,Volkmann fragment,,trauma,ankle,,,,trauma,footankle,footankle,,
What attaches to the posterolateral fragment in the setting of a pilon fracture?,Posterior inferior tibiofibular ligament (PITFL),,trauma,ankle,,,,trauma,footankle,footankle,,
What is the eponym for the tibial anterolateral fragment in the setting of a pilon fracture?,Chaput fragment,,trauma,ankle,,,,trauma,footankle,footankle,,
Which ligament attaches to the anterolateral fragment in the setting of a pilon fracture?,Anterior inferior tibiofibular ligament (AITFL),,trauma,ankle,,,,trauma,footankle,footankle,,
What is the eponym for the fragment created by an AITFL avulsion off the fibula?,Wagstaffe fragment,,trauma,ankle,,,,trauma,footankle,footankle,,
How are high energy pilon fractures treated acutely?,Splinted in the trauma bay and then stabilized with an ankle spanning external fixator,Remember: Soft tissues are amenable to surgery when the skin wrinkles on exam,trauma,ankle,,,external fixation,trauma,footankle,footankle,,
"With high energy pilon fractures, when should a CT be obtained?",After external fixation,This allows for definitive surgical planning,trauma,ankle,,,external fixation,trauma,footankle,footankle,,
In which direction should the calcaneal pin be placed for an ankle spanning external fixator?,Medial to lateral,,trauma,ankle,,,external fixation,trauma,footankle,footankle,,
What is the classification for distal fibula fractures?,Danis-Weber Classification,Weber A: Infrasyndesmotic Weber B: Transsyndesmotic Weber C: Suprasyndesmotic,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What is a Maisonneuve fracture?,Proximal third fibula fracture with associated syndesmotic injury,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
Which type of fibula fractures have the highest association with syndesmotic injuries?,Weber C,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What provocative physical exam maneuver is indicative of syndesmotic instability?,Hopkin's squeeze Test,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
Which additional x-ray should be obtained with an isolated Weber B or C fracture?,Rotational stress view,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What are the three ways that you can perform a stress view of the ankle?,Manual external rotation stress Gravity stress Weightbearing stress,,trauma,hip,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
How do you perform a manual external rotation stress view?,"Obtain a mortise x-ray of the ankle, then apply an external rotation force to the foot",,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What does the preoperative external rotation stress test evaluate?,Deltoid ligament integrity,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What does the intraoperative external rotation stress test evaluate following fibular fixation?,Syndesmosis integrity,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What additional intraoperative stress maneuver can be performed to assess syndesmotic integrity?,Cotton Test,Cotton Test: A manual stress test used to identify the amount of lateral translation of the talus within the ankle mortise. The examiner stabilizes the proximal ankle while shifting the talus laterally.,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
How is the Cotton test performed?,Fluoroscopic exam while pulling the fibula laterally,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What x-ray findings (3) suggest syndesmotic injury?,Decreased tibiofibular overlap Increased tibiofibular clear space Increased medial clear space >5 mm with stress,"Note: Increased medial clear space is due to deltoid ligament incompetence, but suggestive of syndesmotic injury",trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What is a bimalleolar-equivalent ankle fracture?,Fibula fracture with widening of the medial clear space indicating an unstable ankle,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What is a Bosworth fracture-dislocation?,Distal fibula fracture with a fixed posterior fibular dislocation,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What radiographic sign suggests restoration of fibular length?,Dime sign,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What is the classification for ankle fractures?,Lauge-Hansen Classification,Supination-Exernal Rotation (SER) -SER I: AITFL sprain -SER II: SER I + Weber B fibula fracture (Anteroinferior to Posterosuperior) -SER III: SER II + PITFL avulsion or posterior malleolus fracture -SER IV: SER III + Deltoid ligament injury or medial malleolus fracture   Supination-Adduction (SAD) -SAD I: AITFL injury or Weber A fibula fracture -SAD II: SAD I + Vertical medial malleolus fracture (anteromedial impaction)   Pronation-External Rotation (PER) -PER I: Deltoid ligament injury or medial malleolus fracture -PER II: PER I + AITFL injury -PER III: PER II + Fibula fracture (anterosuperior to posteroinferior) -PER IV: PER III + PITFL avulsion or posterior malleolus fracture   Pronation-Abduction (PAB) -PAB I: Deltoid ligament injury or medial malleolus fracture -PAB II: PAB I + AITFL -PAB III: PAB II + Comminuted Weber C fibula fracture,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What additional imaging should be obtained with supination adduction (SAD) type injuries?,CT of the ankle to evaluate for anteromedial impaction,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What are the operative indications (7) for ankle fractures?,Bimalleolar or bimalleolar-equivalent fractures Trimalleolar fractures >25% articular involvement of posterior malleolus fracture Displacement of talus Displacement of an isolated medial or lateral malleolus fracture Bosworth fracture-dislocation Open fractures,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
Fixation of a posterior malleolus fragment restores what percentage of syndesmotic stability?,70%,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
"""What is the """"Rule of 3's"""" (4) for syndesmotic fixation?","Fixate 3 cm proximal to the plafond Capture at least 3 cortices Aim 30° anterior Typically, a 3.5 mm screw""",,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,scr
How does the presence of diabetes influence the period of immobilization following ankle fracture?,Period of immobilization should be doubled,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What complication may occur if hardware is placed too distally on the posterior aspect of the fibula?,Peroneal tendon irritation,,trauma,ankle,,,,trauma,trauma::traumaankle,trauma::traumaankle,,
What is the classification for talar neck fractures?,Hawkins Classification,Hawkins I: Non-displaced talar neck fracture Hawkins II: Talar neck fracture + subtalar dislocation Hawkins III: Hawkins II + tibiotalar dislocation Hawkins IV: Hawkins III + talonavicular dislocation   \,trauma,ankle,,,,trauma,footankle,footankle,,
What is the most common complication following a talus fracture?,Subtalar arthritis,,trauma,ankle,,,,trauma,footankle,footankle,,
What risk escalates with increasing severity of the Hawkins classification?,AVN (~100% with Hawkins IV),,trauma,ankle,,,,trauma,footankle,footankle,,
What is Hawkins sign?,Lucency seen along the subchondral surface of the talus on the mortise view,,trauma,ankle,,,,trauma,footankle,footankle,,
What is the significance of a positive Hawkins sign?,Revascularization of the talus,,trauma,ankle,,,,trauma,footankle,footankle,,
"When performing an ankle arthrodesis, what is the ideal position of the foot?",5-15° dorsiflexion (helps clear foot when ambulating) neutral rotation  5-15° hindfoot valgus,Ankle arthrodesis = ankle fusion,trauma,ankle,,,,trauma,footankle,footankle,,
What talus fracture is commonly seen in snowboarders?,Lateral process fracture,,trauma,ankle,,,,trauma,footankle,footankle,,
Are medial or lateral subtalar dislocations more common?,Medial,,trauma,ankle,,,,trauma,footankle,footankle,,
Which structures may block the reduction of a medial subtalar dislocation?,Lateral structures,"These include peroneal tendons, EDB, and talonavicular joint capsule",trauma,ankle,,,,trauma,footankle,footankle,,
Which structures may block the reduction of a lateral subtalar dislocation?,Medial structures,"These include the posterior tibialis tendon, FHL, and FDL",trauma,ankle,,,,trauma,footankle,footankle,,
What associated fracture most commonly occurs with lateral subtalar dislocations?,Cuboid fracture,,trauma,ankle,,,,trauma,footankle,footankle,,
What other joint commonly dislocates with subtalar joint dislocations?,Talonavicular joint,,trauma,ankle,,,,trauma,footankle,footankle,,
What are the classifications (2) for calcaneus fractures?,Sanders Classification Essex-Lopresti Classification,Sanders Classification -Type I: Non-displaced posterior facet -Type II: One fracture line (2 fragments) -Type III: Two fracture lines (3 fragments) -Type IV: Comminuted (≥4 fragments)   Essex-Lopresti Classification -Tongue type -Joint depression type,trauma,ankle,,,,trauma,footankle,footankle,,
On what imaging is the Sanders Classification based?,Coronal CT at the widest portion of the posterior facet,,trauma,ankle,,,,trauma,footankle,footankle,,
What deformities (3) are commonly seen with a calcaneus fracture?,Shortening Widening Varus,,trauma,ankle,,,,trauma,footankle,footankle,,
What is an urgent concern with a displaced tongue type calcaneus fracture?,Posterior skin necrosis,,trauma,ankle,,,,trauma,footankle,footankle,,
