question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
"What are the genetic associations for the following conditions: Achondroplasia, Pseudoachondroplasia, Diastrophic dysplasia, Multiple epiphyseal dysplasia (MED), and Cleidocranial dysplasia?",_ÐAchondroplasia: FGFR3,,peds,,non-anatomic,,achondroplasia,,,,,
What is the most common form of disproportional dwarfism? What is its inheritance? What gene is mutated and what does this cause?,Achondroplasia   Autosomal dominant   FGFR3 mutation--results in failure in the proliferative zone of the physis,,peds,,non-anatomic,,achondroplasia,,,,,
What spine deformities are seen in achondroplasia (3)?,_ÐLumbar stenosis ÐExcessive lordosis (short pedicles with decreased interpedicular distances) ÐForamen magnum stenosis,,peds,,lumbar spine,,achondroplasia,,,,,
What pelvis deformity is seen with achondroplasia?,Champagne glass deformity (wider than it is deep),,peds,,pelvis,,achondroplasia,,,,,
What leg deformities are seen in achondroplasia (2)?,genu varum tibia vara,,peds,,non-anatomic,lower limb,achondroplasia,,,,,
What elbow deformity is seen in achondroplasia?,radial head subluxation,,peds,,elbow,,achondroplasia,,,,,
What is the shape of growth plates in achondroplasia?,U or V shaped,,peds,,thigh,,achondroplasia,,,,,
What are some physical characteristics of achondroplasia?,"Some physical characteristics of achondroplasia include normal trunk, short limbs, hypotonia, frontal bossing, button noses, small nasal bridges, and trident hands.",,peds,,hand,,achondroplasia,,,,,
What is the inheritance of pseudoachondroplasia? Gene? Chromosome?,Autosomal dominant   Defect of cartilage oligometric matrix protein (COMP)   Chromosome 19,,peds,,non-anatomic,,pseudoachondroplasia,,,,,
What is multiple epiphyseal dysplasia (MED)?,"A form of dwarfism characterized by irregular, delayed ossification at multiple epiphyses   Often not manifested until between ages 5 and 14    Spectrum of disorders with a spectrum of phenotypes",,peds,,shoulder,,multiple_epiphyseal_dysplasia,,,,,
What is the most common gene mutation in multiple epiphyseal dysplasia? What other gene mutation is common?,Most common: COMP   Other: Type IX collagen,,recon,,thigh,,multiple_epiphyseal_dysplasia,,,,,
The proximal femoral involvement in multiple epiphyseal dysplasia can be confused with what? What is characteristic of MED?,Confused with Perthes disease   MED: --bilateral and symmetric --early acetabular changes --no metaphyseal cysts,,peds,,hip,proximal femur,multiple_epiphyseal_dysplasia,,,,,
What imaging study should be performed if multiple epiphyseal dysplasia is suspected? Why?,"Bone survey   Differentiates between Perthes disease, spondyloepiphyseal dysplasia (SED), and MED",,peds,,thigh,,multiple_epiphyseal_dysplasia,,,,,
What is spondyloepiphyseal dysplasia (SED)?,Similar to MED (abnormal epiphyseal development in upper and lower extremties) but has added spine involvement   Spine involvement: --scoliosis: sharp curve over a small number of vertebrae --Atlantoaxial instability with cervical myelopathy,,spine,,cervical spine,,spondyloepiphyseal_dysplasia,,,,,
What is Morquio syndrome? What is it characterized by?,The most common form of mucopolysaccharidosis   A proportionate dwarfism   Characterized by urinary excretion of keratan sulfate,,peds,,non-anatomic,,morquio_syndrome,,,,,
What cervical spine pathology can be seen in Morquio syndrome? How does it manifest?,C1-C2 instability (resulting from odontoid hypoplasia)   Manifests with myelopathy necessitating decompression and cervical fusion,,recon,,cervical spine,,morquio_syndrome,,,,,
What is diastrophic dysplasia? Inheritence? Gene? Manifestation (4)?,A severe short-limbed dwarfism   Autosomal recessive   Deficiency of DTDST gene (sulfate transport protein)   Cauliflower ears Rigid clubfeet Hitchhiker's thumb Cleft palate,,peds,,hand,,diastrophic_dysplasia,,,,,
What cervical pathology is common in diastrophyic dysplasia? What is the major concern of this and what must be done?,"Cervical kyphosis   Major concern for quadriplegia, must fuse early",,spine,,cervical spine,,diastrophic_dysplasia,,,,,
What is cleidocranial dysplasia? What does it effect? Inheritance? Gene? Radiologic findings (2)?,"a.k.a. Dysostosis   A proportionate dwarfism that effects bones formed by intramembranous ossification (clavicles, cranium, pelvis)   Autosomal dominant   Defect in transcription factor for osteocalcin (CBFA1)   Radiologic findings: --hypoplasia or aplasia of the clavicle (no intervention necessary) --Delayed ossification of the symphysis pubis",,peds,,hip,,cleidocranial_dysplasia,,,,,
What causes osteopetrosis? Cause? Inheritance?,A metabolic bone disease caused by defective osteoclastic resorption of bone   Probably secondary to a defect in the thymus   Mild form: autosomal dominant Malignant form: autosomal recessive,,peds,,non-anatomic,,osteopetrosis,,,,,
Osteopetrosis when associated with renal tubular acidosis and cerebral calcifications is due to a defect in what gene?,Defect in carbonic anhydrase II gene,,peds,,non-anatomic,,osteopetrosis,,,,,
"In osteopetrosis, loss of the medullary canal can cause what (2)?",Ð_Anemias ÐEncroachment on the optic and oculomotor nerves which leads to blindness,,peds,,non-anatomic,,osteopetrosis,,,,,
What are the 3 'buzz phrases' used to describe the radiographic features of osteopetrosis?,"Marble bone, Rugger jersey spine, Erlenmeyer flask deformity of the proximal humerus and distal femur",,peds,,non-anatomic,,osteopetrosis,,,,,
What procedure may be helpful in treating the malignant form of osteopetrosis?,Bone marrow transplantation,,onc,peds,non-anatomic,,osteopetrosis,,,,,
What is the genetic defect in Down syndrome? What are its orthopedic manifestations (6)?,Trisomy 21   --atlantoaxial instability --hip instability --patellar dislocation --scoliosis --SCFE --spondylolisthesis,,peds,,cervical spine,,down_syndrome,,,,,
"In Down syndrome, the pathogenesis of generalized ligamentous laxity is thought to be due to what? Genes? Chromosome?",Abnormal type VI collagen   Genes: COL6A1 and COL6A2   Chromosome 21,,basicscience,,non-anatomic,,down_syndrome,,,,,
What screening is mandatory before induction of anesthesia in patients with Down syndrome?,"Cervical spine instability   Otherwise, general C-spine screening is controversial",,spine,,cervical spine,,down_syndrome,,,,,
What is the treatment approach to hip instability in Down syndrome?,"Initially treat with closed reduction   May go on to require capsulorrhaphy, pelvis osteotomy, and femoral osteotomies",,peds,,hip,,down_syndrome,,,,,
What is the treatment algorithm for scoliosis in Down syndrome?,Bracing for 25-30 degree curves   Surgery for 50-60 degree curves,,peds,,spine,,down_syndrome,,,,,
What is the Cobb angle? How is it measured?,Angle for measuring scoliosis (>10 degrees is scoliosis),,spine,,spine,,,,,,,
What is Marfan syndrome inheritance? Gene?,Autosomal dominant   Disorder of fibrillin-1 (important component of elastic and nonelastic connective tissues),,recon,,non-anatomic,,marfan_syndrome,,,,,
What are the non-orthopaedic manifestations of Marfan syndrome (4)?,--Pectus deformities --Cardiac abnormalities (aortic dilation major cause of death) --Ocular abnormalities (superior lens dislocation in 60%) --Dural ectasia and meningocele,,recon,,thoracic spine,,marfan_syndrome,,,,,
What are the orthopaedic manifestation of Marfan syndrome (4)?,--Arachnodactyly --Scoliosis (50% of cases) --Acetabular protrusio (15-25%) --Joint laxity,,recon,,hand,,marfan_syndrome,,,,,
What is the treatment of scoliosis in Marfan syndrome?,Bracing is ineffective   If curves severe enough will require anterior and posterior fusion,,spine,,thoracic spine,,marfan_syndrome,,,,,
What is the treatment of acetabular protrusion in Marfan syndrome?,Rarely causes severe hip dysfunction   Usually observed   Prophylactic closure of triradiate cartilage is not recommended,,recon,,hip,,marfan_syndrome,,,,,
What are the clinical features of Beckwith-Wiedemann Syndrome?,"Non-orthopaedic features include organomegaly, omphalocele, and a large tongue. Orthopaedic features include hemihypertrophy and spasticity.",,peds,,non-anatomic,,beckwith_wiedemann_syndrome,,,,,
What are patients with Beckwith--Wiedemann syndrome predisposed to? What screening must they receive?,Wilms tumor   Regular screening with kidney ultrasonography,,peds,,non-anatomic,,Beckwith-Wiedemann Syndrome,,,,,
What common orthopedic manifestations are seen in sickle cell anemia (4)? What causes them?,Condition of hemolysis and microvascular occlusion   Consequences: --Bone infarction --Osteomyelitis --Osteonecrosis of the femoral and humeral heads --Septic arthritis,,peds,,thigh,,sickle_cell_anemia,,,,,
"In sickle cell anemia, how is bone infarction differentiated from osteomyelitis?",Sequential bone marrow tests and bone scans within 24 hours    as well as gadolinium-enhanced T1-weighted MRI sequences,,peds,,thigh,,sickle_cell_anemia,,,,,
What are the most common infecting organisms in osteomyelitis in patients with sickle cell? What is the empiric antibiotic therapy?,S. aureus in most common   Salmonella is also common   Emperically treat with ceftriaxone,,peds,,thigh,,osteomyelitis,,,,,
What is the inheritance of hemophilia? Gene? What causes the orthopaedic manifestations?,X-linked recessive   Decrease in Factors VIII (hemophilia A) and IX (hemophilia B)   Orthopedic manifestations are secondary to repeated episodes of hemorrhage,,peds,,elbow,,,,,,,
"In hemophilia, what do recurrent hemarthroses result in? What is the surgical treatment?","Result in hemophilic arthropathy   Synovectomy is indicated for hemarthroses that recur despite optimal medical management   Medical management: immediate administration of factor VIII or IX during acute hemarthrosis, continue for 3-7 days after cessation of bleeding, followed by PT",,peds,,elbow,,,,,,,
What is the cause of femoral nerve neurapraxia in hemophilia?,Iliacus hematoma,,peds,,pelvis,,,,,,,
"In hemophilia, factor VIII levels should be increased for prophylaxis in what situations (4)?",--vigorous physical therapy (increse to 20%) --Treatment of hematoma (30%) --Acute hemarthrosis of soft tissue surgery (>50%) --Skeletal surgery (approaching 100% preop and maintain at 50% for 10 days post-op),,peds,,elbow,,,,,,,
What causes rickets and what are 3 clinical features?,"Rickets is caused by a deficiency of calcium (and sometimes phosphorus) affecting mineralization at the epiphyses of long bones. Three clinical features of rickets include short stature, limb angulation (usually varus), and bone pain.",,peds,,non-anatomic,,rickets,,,,,
What are the growth plate abnormalities seen in rickets?,_ÐEnlarged and distorted maturation zone (zone of hypertrophy) ÐPoorly defined zone of provisional calcification,,peds,,thigh,,rickets,,,,,
What causes osteogenesis imperfecta?,Defect in type I collagen (COL1A2 gene) that causes abnormal cross-linking and leads to decreased secretion of collagen,,recon,,hip,,osteogenesis_imperfecta,,,,,
What is the typical healing process for fractures in patients with osteogenesis imperfecta?,Fractures in patients with osteogenesis imperfecta typically heal normally but undergo abnormal remodeling.,,trauma,,shoulder,,osteogenesis_imperfecta,,,,,
What cervical spine problem is common with severe types of osteogenesis imperfecta?,Basilar invagination   (superior migration of C2 vertebra that can narrow the foramen magnum and press on the lower brainstem),,spine,,cervical spine,,osteogenesis_imperfecta,,,,,
What drug has been shown to decrease the number of fractures in patients with osteogenesis imperfecta? What complication can occur?,Bisphosphonates   Iatrogenic osteopetrosis can occur with long-term use of high-dose,,recon,,thigh,,osteogenesis_imperfecta,,,,,
What spine deformity is common in osteogenesis imperfecta? Treatment?,"Scoliosis is common   Bracing is ineffective, segmental instrumention is need with deformities exceeding 50 degrees",,recon,,thoracic spine,,osteogenesis_imperfecta,,,,,
What is juvenile idiopathic arhtritis?,Includes both juvenile rheumatoid arthritis and juvenile chronic arthritis   Persistent noninfectious arthritis lasting 6 weeks to 3 months and diagnosed after other possible causes have been ruled out,,peds,,non-anatomic,,juvenile_idiopathic_arthritis,,,,,
When does juvenile idiopathic arthritis typically manifest? What joints does it commonly involve (3)?,"Manifests before age of 4 typically   Commonly involves knee, wrist, and hand",,peds,,hand,,juvenile_idiopathic_arthritis,,,,,
"In juvenile idiopathic arthritis, cervical spine involvement can lead to what (3)?",_Ðkyphosis Ðfacet ankylosis Ðatlantoaxial subluxation,,peds,,cervical spine,,juvenile_idiopathic_arthritis,,,,,
What eye examination is required in juvenile idiopathic arhtritis? Why?,Slit lamp examination twice yearly   Progressive iridocyclitis can lead to rapid loss of vision if left untreated,,peds,,non-anatomic,,juvenile_idiopathic_arthritis,,,,,
What is ankylosing spondylitis?,"A systemic chronic autoimmune spondyloarthropathy   Causes bilateral sacroiliitis, progressive spinal kyphotic deformity, cervical spine fractures, large joint arthritis   Systemic manifestations: acute anterior uveitis and iritis, cardiac conduction abnormalities, pulmonary fibrosis, renal amyloidosis, ascending aortic conditions",,spine,,spine,,ankylosing_spondylitis,,,,,
Ankylosing spondylitis is associated with what immune complex? What is a useful screening tool?,HLA-B27 (not a useful screening tool)   Limitation of chest wall expansion is a more specific screening tool (<2cm expansion more specific than HLA-B27),,spine,,spine,,ankylosing_spondylitis,,,,,
What is the course of the hand lumbrical muscles?,"The hand lumbrical muscles originate on the radial aspect of the FDP tendons, pass volar to the transverse metacarpal ligaments, and insert on the radial aspect of the extensor hood lateral bands.",,hand,,hand,,,,,,,
What is the intrinsic tightness test and what does it indicate?,"The intrinsic tightness test involves assessing the flexibility of the proximal interphalangeal joints (PIPJs) with the metacarpophalangeal joints (MCPJs) held in different positions. Intrinsic tightness is indicated by decreased PIPJ flexion when the MCPJ is held in extension, while the PIPJs can be flexed easily when the MCPJs are held in flexion. This condition commonly occurs in cerebral palsy, rheumatoid arthritis, and following trauma.",,hand,,hand,,,,,,,
What are the normal measurements of distal radius anatomy on radiographs?,Radial height--11mm Radial inclination--22 degrees Volar tilt--11 degrees   Should also assess ulnar variance,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What are the acceptable reduction parameters of distal distal radius fractures?,Radial shortening <3mm Dorsal tilt <10 degrees Intraarticular step-off less than 2mm,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What are 2 complications with prolonged immoblization of distal radius fractures?,Muscle atrophy Disuse osteopenia,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What approach is best used for ORIF of distal radius fractures?,Volar approach is best for volarly displaced fractures (Smith and volar Barton)   Has also become standed for dorsally displaced fractures (Colles) and some intra-articular fractures,,hand,,wrist,distal radius,distal_radius_fx,,,,,orif
What approach is best used for direct visualization of the articular surface in distal radius fractures?,Dorsal approach,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What is the most common complication after distal radius fracture?,Median nerve dysfunction,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What tendon complication is seen following closed treatment of distal radius fractures? Why? How is it treated?,EPL tendon rupture   Due to attritional wear and/or vascular insufficiency near Lister tubercle   Treat with EIP to EPL tendon transfer. Primary repair is not possible.,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What is the most common flexor injury after volar plating of distal radius fracture? Why? What about extensor injury?,FPL rupture--Most commonly due to positioning plate too distally.   EPL rupture--dorsally prominent screws,,hand,,wrist,distal radius,distal_radius_fx,,,,,
What is the most commonly injured carpal bone? What is it at risk for?,Scaphoid fractures   At risk for: --nonunion --osteonecrosis --posttraumatic osteoarhtrosis,,hand,,wrist,scaphoid,scaphoid_fx,,,,,
What are 3 acute operative indications for fixation of scaphoid fractures?,--1mm displacement --Intrascaphoid ange >35 degrees (humpback deformity) --Trans-scaphoid perilunate dislocation,,hand,,wrist,scaphoid,scaphoid_fx,,,,,
Fracture of what part of the scaphoid is a relative operative indication?,Proximal pole,,hand,,wrist,scaphoid,scaphoid_fx,,,,,
How are minimally displaced fractures of the scaphoid commonly treated operatively?,Headless compression screw fixation by percutaneous or limited open incisions,,hand,,wrist,scaphoid,scaphoid_fx,,,,,
When is formal ORIF of the scaphoid recommended?,Displaced injuries or those treated in a delayed fashion.,,hand,,wrist,scaphoid,scaphoid_fx,,,,,orif
Where should guide pins be placed in ORIF of scaphoid fractures?,Along the central axis of both the proximal and distal fragments,,hand,,wrist,scaphoid,scaphoid_fx,,,,,orif
What approach is preferred in ORIF of scaphoid fractures? Why?,Volar approach   Avoids disruption of the primary dorsal blood supply of the scaphoid,,hand,,wrist,scaphoid,scaphoid_fx,,,,,orif
How is scaphoid nonunion treated?,"ORIF and bone grafting (multiple techniques, vascularized vs non-vascularized)",,hand,,wrist,scaphoid,scaphoid_fx,,,,,orif
"What does untreated, chronic scaphoid nonunion lead to? Describe its progression.","Untreated, chronic scaphoid nonunion can lead to SNAC wrist (Scaphoid nonunion advanced collapse). The progression of SNAC wrist includes involvement of the radioscaphoid joint, scaphocapitate and lunocapitate joints, and radiolunate joint.",,hand,,wrist,scaphoid,scaphoid_fx,,,,,
What causes hook-of-hamate fractures?,"Blunt trauma to the palm, often stick or racquet sports",,sports,,hand,hamate,hook_hamate_fx,,,,,
What imaging is used to diagnose hook-of-hamate fractures?,Carpal tunnel view or CT,,hand,,wrist,hamate,hook_hamate_fx,,,,,
How are hook-of-hamate fractures treated? What procedure is used for salvage?,Cast immobilization   Failure can be salvaged with fragment excision.,,hand,,hand,hamate,hook_hamate_fx,,,,,
Carpal instability can be broadly classified into what 4 types?,"1) Carpal instability dissociative--Instability between individual carpal bones of a single carpal wrose (DISI, VISI) 2) Carpal instability nondissociative (CIND)--instability between carpal rows (mid carpal or radiocarpal) 3) Carpal instability adaptive--from distal radius malunion 4) Carpal instability complex--perilunate dislocations",,hand,,wrist,,dorsal_intercalated_segment_instability,,,,,
What is DISI? What is seen on radiographs?,"Results from scapholunate ligament disruption. The scaphoid flexes palmar and the lunate dorsiflexes   Xray shows increased scapholunate angle (>70 degrees), widened scapholunate interval (>3mm)",,hand,,wrist,,dorsal_intercalated_segment_instability,,,,,
Which portion of the scapholunate ligament is strongest?,Dorsal,,hand,,wrist,,dorsal_intercalated_segment_instability,,,,,
What may result from chronic untreated DISI and what is the progression of this condition?,"Chronic untreated DISI may result in Scapholunate advanced collapse (SLAC). The progression of arthritis in SLAC is as follows: 1. scaphoid and radial styloid, 2. scaphoid and entire scaphoid facet of radius, 3. scaphoid and capitate, 4. between capitate and lunate.",,hand,,wrist,,dorsal_intercalated_segment_instability,,,,,
What is VISI? What is seen on radiographs?,"Volar intercaleted segment instability. Caused by disruption of lunotriquetral ligament. Lunate and scaphoid flex volarly.   Radiographs show decreased scapholunate angle (<30, normal is 47). Break in Glilula arc.",,hand,,wrist,,volar_intercalated_segment_instability,,,,,
Which portion of the lunotriquetral ligament is strongest?,Volar,,hand,,wrist,,,,,,,
What are the 4 stages of progression of perilunate dislocations?,Perilunar disruption of ligamentous constraints proceeding in counterclockwide fashion.  1. scapholunate 2. capitolunate 3. lunotriquetral--dorsal midcarpal dislocation (capitate dorsal to lunate) 4. circumferential--volar lunate dislocation,,hand,,wrist,lunate,perilunate_dislocation,,,,,
What is the treatment of perilunate dislocations?,"Prompt closed reduction (risk of acute carpal tunnel syndrome) followed by definitive ORIF   ORIF may require volar and/or dorsal approach --Combination of ligamentous repair, fracture fixation, dorsal capulodesis, K-wire pinnig of proximal row and midcarpal joint.",,hand,,wrist,lunate,perilunate_dislocation,,,,,orif
What is a Bennett fracture?,intra-articular fracture-dislocation of the thumb metacarpal base.,,hand,,hand,thumb,bennett_fx,,,,,
What are the deforming forces in a Bennett fracture?,"APL and thumb extensors   Causes, proximal, dorsal and radial displacement of the MC shaft",,hand,,hand,thumb,bennett_fx,,,,,
What keeps the volar-ulnar base fragment reduced to the trapezium in a Bennett fracture?,"""the anterior oblique or  """"beak"""" ligament""",,hand,,hand,thumb,bennett_fx,,,,,
What is the reduction technique used for Bennett fractures?,"Traction, palmar abduction, and pronation",,hand,,hand,thumb,bennett_fx,,,,,
What is skier's or gamekeeper's thumb?,"Acute and chronic injuries, respectively, to the thumb MCPJ ulnar collateral ligament (UCL)",,hand,,hand,thumb,ucl_tear_thumb,,,,,
What physical exam maneuver indicates injury to the thumb MCPJ UCL (skier's/gamekeeper's thumb)?,Stress the thumb MCPJ with radial deviation both at neutral and 30 degrees of flexion. Instability at 30 degrees of flexion indicates injury to the proper UCL.,,hand,,hand,thumb,ucl_tear_thumb,,,,,
What is a Stener lesion?,Seen in 85% of skier's/gamekeeper's thumb   The adductor pollic aponeurosis is interposed between the avulsed UCL and its insertion site on the base of the proximal phalanx,,hand,,hand,thumb,ucl_tear_thumb,,,,,
PIPJ dislocations most commonly occur in what direction and result from what?,Dorsal dislocations most common   Result from volar plate and collateral ligament injury,,hand,,hand,,pipj_dislocation,,,,,
What is disrupted in volar PIPJ dislocations?,Closed injury to the central slip and at least one collateral ligament,,hand,,hand,,pipj_dislocation,,,,,
What is the treatment alogrithm of volar PIPJ dislocations?,"Closed reduction followed by assessment of active extension   If no extensor lag: --splint in extension   If extensor lag: --central slip repair, 6 weeks of immobilization in extension",,hand,,hand,,pipj_dislocation,,,,,
Inadequate treatment of volar PIPJ dislocations lead to what deformity?,boutonniere deformity,,hand,,hand,,pipj_dislocation,,,,,
What is a rotary PIPJ dislocation?,one of the phalangeal condyles is buttonholed between the central slip and lateral band,,hand,,hand,,pipj_dislocation,,,,,
PIPJ fracture-dislocations are classified based on what? What is the treatment algorithm?,Classified based on amount of middle phalanx articular surface involvement.,,hand,,hand,,pipj_dislocation,,,,,
What typically blocks reduction in irreducible MCPJ and DIPJ dislocations? What is the treatment?,interposition of the volar plate   treat with open reduction and extraction of the volar plate,,hand,,hand,,,,,,,
How is a mallet finger treated?,DIPJ extension splinting if detected within apporximately 12 weeks of injury?,,hand,,hand,,mallet_finger,,,,,
What is a relative surgical indication for a mallet finger?,displaced bony mallet injury with significant volar subluxation of P3,,hand,,hand,,mallet_finger,,,,,
Dorsal injury over the PIPJ may result in what? What is the result?,Results in dispruption of the central slip insertion   Lateral bands subluxated volarly resuting in an acute boutonniere deformity (posture of PIPJ flexion and DIPJ hyperextension),,hand,,hand,,,,,,,
"How can a flexible, chronic boutonniere deformity be treated?",central slip reconstruction,,hand,,hand,,boutonniere_deformity,,,,,
What are fight bites? How are they treated?,Open injury over the MCPJ extensor hood from human teeth   Best treated with surgical debridement and IV antibiotics,,hand,,hand,,,,,,,
When should partial flexor tendon lacerations be trimmed?,If painful triggering occurs within the tendon sheath,,hand,,hand,,,,,,,
When should primary repair of flexor tendon lacerations be performed?,Lacerations with over 60% involvement,,hand,,hand,,flexor_tendon_laceration,,,,,
What is strength of flexor tendon repair proportional to?,Number of core suture strands that cross repair site,,hand,,hand,,flexor_tendon_laceration,,,,,
What decreases gap formation in flexor tendon repair?,A locking-loop configuration,,hand,,hand,,flexor_tendon_laceration,,,,,
"When repairing flexor tendon injuries, sutures placed where are stronger?",dorsally placed core sutures,,hand,,hand,,flexor_tendon_laceration,,,,,
What additional repair can increase overall repair strength of flexor tendon injuries by up to 50%?,epitendinous repair,,hand,,hand,,flexor_tendon_laceration,,,,,
Why is early protected ROM after flexor tendon repair is advocated (3)?,Increases tendon excursion   Decreases adhesion formation   Increases repair strength,,hand,,hand,,flexor_tendon_laceration,,,,,
Active flexion protocols after flexor tendon repair requires what?,A minimum four-strand core repair,,hand,,hand,,flexor_tendon_laceration,,,,,
How should young children be treated after repair of a flexor tendon?,"They cannot comply with therapy, require cast immoblization for 4 weeks.",,peds,,hand,,flexor_tendon_laceration,,,,,
What is a jersey finger?,closed flexor digitorum profundus tendon injury from forced DIPJ during grasping,,hand,,hand,,jersey_finger,,,,,
"When repairing a jersey finger, FDP advancement of 1cm or more carries a risk of what?",joint flexion contracture or quadrigia,,hand,,hand,,jersey_finger,,,,,
What is quadrigia?,"The middle-ring-small FDP tendons share a common muscle belly, and distal advancement of one tendon will compromise flexion of the adjacent digits resulting in forearm pain.",,hand,,hand,,quadrigia,,,,,
What is adult trigger finger?,stenosing flexor tenosynovitis caused by entrapment of the flexor tendons at the A1 pulley,,hand,,hand,,,,,,,
What is the treatment of trigger finger?,"Non-op: --night splinting, activity modifications, NSAIDS, steroid injections  Operative: --A1 pulley release if non-op fails",,hand,,hand,,trigger_finger,,,,,
With what disease is trigger finger associated?,diabetes and rheumatologic disease   diabetics respond less favorably to steroid injection,,hand,,hand,,trigger_finger,,,,,
What may result from chronic untreated DISI and describe its progression?,"Chronic untreated DISI may result in Scapholunate advanced collapse (SLAC). The progression of arthritis in SLAC includes: 1. involvement of the scaphoid and radial styloid, 2. involvement of the scaphoid and entire scaphoid facet of the radius, 3. involvement of the scaphoid and capitate, and 4. arthritis between the capitate and lunate.",,hand,,wrist,,dorsal_intercalated_segment_instability,,,,,
What causes pediatric trigger thumb? How does it present? What is the treatment?,Caused by pathologic nodular thickening of a tendon (Notta node)   Presents with mechanical catching or fixed flexion deformity of IPJ in early childhood   May initially treat with observation but most go on to need A1 pulley release between age 2-4 to prevent IPJ contracture,,hand,,hand,,trigger_finger,,,,,
What is de Quervain tenosynovitis? Who does it commonly effect?,"Atttritional and degenerative condition affecting the first extensor compartment (APL/EPB). Presents with dorsoradial wrist pain and, swelling, and crepitus   Affects middle aged women, new mothers, and golfers",,hand,,wrist,,de_quervain_tenosynovitis,,,,,
What is the treatment of de Quervain tenosynovitis?,"Non-op: Rest, activity modification, thumb spica brace, NSAIDs, steroid injection into first dorsal compartment  *steroid injection successful in more than 80% if patients    Operative: Surgical release of first extensor compartment",,hand,,hand,,de_quervain_tenosynovitis,,,,,
What is frequently seen in de Quervain cases recalcitrant to operative treatment? What are common complications?,An anatomic variation in first extensor compartment  *APL May have multiple slips (2-4) *EPB May have its own separate compartment    Complications: *iatrogenic injury to superficial sensory radial nerve -tendon subluxation -CRPS -Recurrence from incomplete release,,hand,,wrist,,de_quervain_tenosynovitis,,,,,
What is intersection syndrome? Who does it commonly affect? What is the treatment?,"Tendinopathy or bursitis occurring between the first and second extensor compartments. Presents with tenderness, swelling, and crepitus localized to an area 4-5 cm proximal to radiocarpal joint   Commonly affects rowers, weight lifters, football lineman, martial artists, golfers   Generally treated nonoperatively with ice, splinting, NSAIDs, steroid injections into the second extensor compartment  When non-op fails surgical release of second extensor compartment and Deb ride meant of inflamed bursae",,hand,,forearm,,intersection_syndrome,,,,,
What does the TFCC do? What are the components?,Stabilizes the DRUJ and transmits 20% of axial load at the wrist (neutral ulnar variance)   Components: -dorsal and volar radioulnar ligaments -articular disc -meniscus homologue -ECU subsheath -Origins if the ulnolunate and ulnotriquetral ligaments,,hand,,wrist,TFCC,,,,,,
What are the classes of TFCC tears?,Class I-traumatic   Class II-degenerative   Further devided into subtypes based on anatomic location,,hand,,wrist,TFCC,TFCC_tear,,,,,
What is the most common type of acute TFCC tear?,Avulsions at the ulnar peripherary (IB)   No difference in outcome with open versus arthroscopic repair,,hand,,wrist,TFCC,TFCC_tear,,,,,
What are degenerative TFCC tears associated with? What is the most common surgical treatment in the absence of DRUJ osteoarthrosis?,Associated with positive ulnar variance and ulnocarpal impaction syndrome   Most commonly performed procedure is arthroscopic debridement and ulnar shortening osteotomy,,hand,,wrist,TFCC,TFCC_tear,,,,,
What are 4 surgical treatment options of posttraumatic DRUJ osteoarthritis ?,"-distal ulna resection (Darrach procedure)â€”reserved for elderly, low demand patients. May lead to painful proximal ulna stump instability -Hemiresection or interposition arthroplasty -Sauve-kapandji procedureâ€”fusion of the DRUJ with creation of a proximal pseudarthrosis at the ulnar neck -prosthetic arthroplasty",,hand,,wrist,DRUJ,,,,,,
What is the treatment of nailed injuries with <50% subungual hematoma? >50%?,"<50% = nail trephination for pain relief, no nail plate removal   >50% = nail plate removal and repair of nail matrix lacerations",,hand,,hand,,nail_plate_injury,,,,,
"In fingertip amputations without exposed bone, what are guidelines for soft tissue coverage?",Allow to heal by secondary intention if wound less than 1cm or pulp is involved.   Otherwise skin grafts or composite grafts  are required,,hand,,hand,,finger_amputation,,,,,
How are finger tip amputations with exposed bone characterized?,"Orientation of tissue loss: transverse, volar oblique, dorsal oblique",,hand,,hand,,finger_amputation,,,,,
"To preserve length in a fingertip amputation with exposed bone, what coverage options are used for a volar oblique injury? Transverse or dorsal oblique?",Volar oblique -cross finger or thenar flap    Transverse or dorsal oblique: -V-Y advancement: wide volar flap is lifted off distal phalanx with a tapered base at the DIP flexion crease. Flap is advanced over the finger tip toward the dorsal side and a tension free closure is made. Or the Kutler method where two separate smaller V-Y advancements from the lateral aspects of the digits to cover transverse injuries,,hand,,hand,,finger_amputation,,,,,
What coverage option is used for transverse or dorsal oblique thumb tip amputations with exposed bone?,Movers advancement flapâ€”the entire volar skin of the thumb including its Neuro vascular contents are advanced distally. Flexion of the IPJ assists in coverage of the defect,,hand,,hand,,finger_amputation,,,,,
