#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
"{{c1::Unicameral Bone Cysts}} are <b>BENIGN</b>, {{c2::serous}} fluid-filled bone lesions most commonly found in the {{c2::proximal humerus}} The condition typically presents in patients &lt; {{c2::20}} years of age with a pathological fracture through the lesion.&nbsp;<br><br>Diagnosis is made with radiographs showing a <b>central, lytic, well-demarcated metaphyseal lesions with cystic expansion</b> and a characteristic ""{{c3::fallen leaf}}"" sign&nbsp;(pathologic fracture with <b>fallen cortical fragment in base of empty cyst</b> is pathognomonic)"	"Treatment is usually <b>immobilization </b>for proximal humerus lesions. Surgical curettage and bone grafting is indicated for pathologic fractures that have a high rate of refracture and malunion.<br><img src=""https://upload.orthobullets.com/topic/8035/images/Case%20B%20-%20fallen%20fragment%20-%20parsons_moved.jpg"">"										OB::CriticalCardDeck::Path
{{c1::Chordomas}} are&nbsp;{{c2::malignant}} tumors of {{c2::primitive notochordal}} origin that most commonly occur in the {{c2::sacrum}} and {{c2::coccyx}}.&nbsp;<br>Diagnosis is made with biopsy showing<b>&nbsp;foamy, vacuolated, physaliferous&nbsp;cells </b>that are keratin positive on histochemical stains.&nbsp;<br>Treatment is usually&nbsp;{{c3::wide margin surgical resection}} with or without radiation	"The tumor typically presents in patients &gt; 50 years of age with<b> insidious low back pain with bowel or bladder dysfunction.</b><br><img src=""https://upload.orthobullets.com/topic/8032/images/Case%20A%20-%20pelvis%20-%20xray%20-%20parsons_moved.jpg""><img src=""https://upload.orthobullets.com/topic/8032/images/Histology%20A%20-%20parsons_moved.jpg""><img src=""https://upload.orthobullets.com/topic/8032/images/axialmri.jpg"">"										OB::CriticalCardDeck::Path
{{c1::Teriparatide}} is <b><u>contraindicated </u></b>in <u>Paget's disease</u> due to risk of <b>secondary </b>{{c2::<b>osteosarcoma</b>}}; first line medical treatment for <u><b>symptomatic </b></u>Paget's disease are {{c3::bisphosphonates}} otherwise observation and supportive therapy (PT, NSAIDS, pain control)	"teripartide is PTH analog; 2nd line is calcitonin<br><img src=""paste-98f9d128730b39227ee0c950eeebc7bac01324e8.jpg"">"										OB::CriticalCardDeck::Path
What medication can help decrease the size of giant cell tumor and what is its mechanism of action?<br><br>{{c1::Denosumab a monoclonal antibody against RANK-ligand}}	"classic GCT histo slide<br><img src=""giant_cell_tumor_of_bone.jpg"">"										OB::CriticalCardDeck::Path
{{c1::Synovial Sarcoma}} is a <b><u>malignant</u></b>,&nbsp;soft tissue sarcoma caused by a {{c2::t(X;18)}} chromosomal translocation mutation typically found near joints and is most common sarcoma in young adults age 15-40	"<img src=""paste-57a8eb68e00e03998aa54c0285ea3e7b7c453f0d.jpg"">"										OB::CriticalCardDeck::Path
What is the most common <b><u>malignant sarcoma of the foot?<br><br></u></b>{{c1::Synovial Sarcoma}}<b><u><br></u></b>	"<img src=""paste-57a8eb68e00e03998aa54c0285ea3e7b7c453f0d.jpg"">"										OB::CriticalCardDeck::Path
Characteristic <b>synovial sarcoma</b> shows a mono/biphasic appearance with 2 typical cell types: {{c1::spindle}} cell or {{c1::epithelial}} cell	"cellular origin of synovial sarcoma is unknown, but it is not the synovial cell or any cell involved in the synovium.&nbsp; The name SYNOVIAL sarcoma is a misnomer<br><img src=""paste-f17d431d9ac2e4092943b96a9fa531c1be5e9b79.jpg""><br><img src=""Histology B - Parsons_moved.png"">"										OB::CriticalCardDeck::Path
Positive immunostaining in <b>Synovial Sarcoma</b> is {{c1::epithelial membrane antigen}} and {{c1::vimentin}}, sporadic S-100, keratin positive epithelial cells	"<img src=""paste-45b7190a80d846593d68d6d41a0af2e13bbef5ef.jpg"">"										OB::CriticalCardDeck::Path
Treatment of <b>Synovial Sarcoma</b>&nbsp;is {{c1::wide surgical resection}} with {{c1::adjuvant radiotherapy}}	"<img src=""paste-4c9cd1b6d63e62d4ebf49f06abd84ad7eccc3306.jpg"">"										OB::CriticalCardDeck::Path
{{c1::Neurilemmoma}} aka {{c1::Schwannoma}} are&nbsp;<b>benign, encapsulated nerve sheath tumors </b>that occur on the surface of peripheral nerves with histology showing {{c2::verocay bodies}} and immunostaining is positive for {{c2::S100}}.	"Diagnosis is made with biopsy showing a lesion made of Schwann Cells that is well encapsulated in a nerve sheath<br>Varocay body is pathognomic for schwannoma and is composed of two rows of aligned neclei in a palisading formation<br><img src=""verocay_histo.jpg""><br><img src=""verocay_diagram.jpg"">"										OB::CriticalCardDeck::Path
<b>Parosteal Osteosarcoma</b> is a <b>malignant, low-grade</b>, osteosarcoma that&nbsp;occurs on the surface of the metaphysis of long bones and is treated with {{c1::wide surgical resection alone}}	"As opposed to intramedullary osteosarcoma which would require neoadjuvant chemotherapy proir to resection<br>PAROSTEAL<br><img src=""https://upload.orthobullets.com/question/217505/images/screenshot_2022-07-17_9.40.48_am.jpg""><br>INTRAMEDULLARY NEEDS NEO ADJUVANT CHEMO<br><img src=""https://upload.orthobullets.com/question/217505/images/screenshot_2022-07-17_7.16.16_pm.jpg"">"										OB::CriticalCardDeck::Path
{{c2::Coxa Vara}} is a deformity of the hip where<b> femoral head to shaft angle </b>is &lt;{{c1::120}} degrees	"<b>Coxa vara aka shepard crooks deformity; seen in fibrous dysplasia</b><br>Coxa valga is &gt;130<br><img alt=""Coxa Vara Causes and Treatment | Bone and Spine"" src=""https://i0.wp.com/boneandspine.com/wp-content/uploads/2017/07/coxa-vara-valga.png?resize=744%2C494"">"										OB::CriticalCardDeck::Path
<b>Fibrous Dysplasia</b> is a developmental abnormality caused by a&nbsp;{{c1::GS alpha protein}}&nbsp;mutation that leads to failure of the production of normal {{c2::lamellar bone}}.	"<div>associated with&nbsp;<span style=""color: rgb(83, 114, 166);"">GNAS mutation&nbsp;</span><div><a href=""https://www.orthobullets.com/TopicView.aspx?id=8038&amp;bulletsViewType=bullet&amp;bulletContentId=4fef4857-3f7a-4962-8b78-30d8e9ef218d&amp;bulletAnchorId=4fef4857-3f7a-4962-8b78-30d8e9ef218d&amp;isBookmode=true#213027""><i></i></a></div></div><div><ul><li><div><span style=""color: rgb(83, 114, 166);"">GS alpha protein (chromosome 20q13) activating&nbsp;</span>mutation (affects<span style=""color: rgb(83, 114, 166);"">&nbsp;cAMP</span>&nbsp;signaling pathway leading to increased production of cAMP)</div></li></ul></div><img src=""paste-0706e0f284bd4ea3cbd92858ba15840008992de0.jpg""><br>"										OB::CriticalCardDeck::Path
What pathology is described radiographically as lytic lesions with <b>ground glass appearance</b>, <b>punched out </b>with well defined margin of sclerotic bone, and histologically as <b>alphabet soup </b>or <b>chinese letters</b>?<br><br>{{c1::Fibrous Dysplasia}}	"Treatment is usually nonoperative with bisphosphonates for pain control. Surgical management is indicated for lesions that lead to bone deformities such as scoliosis or coxa vara.<br><img src=""https://upload.orthobullets.com/question/687/images/polyostotic%20fibrous%20dysplasia.hip.jpg""><img src=""https://upload.orthobullets.com/topic/8038/images/fibrous-dysplasia[1]_moved.jpg""><img src=""https://upload.orthobullets.com/topic/8038/images/prfm1[1]_moved.jpg""><img src=""https://upload.orthobullets.com/topic/8038/images/1c_moved.jpg"">"										OB::CriticalCardDeck::Path
Which two metastatic cancers to the spine is preoperative embolization recommended?<br><br>{{c1::Renal}} and {{c1::Thyroid}}											OB::CriticalCardDeck::Path
"{{c1::Melorheostosis}} is a <b>rare benign painful</b> disorder of the extremities characterized by formation of <b>periosteal new bone</b>&nbsp;diagnoses with a classic ""dripping candle wax"" appearance off the cortex of bone. Treatment is generally {{c2::nonoperative::op or non}} and {{c2::bisphosphonates::med}} have been shown to help with<b> pain and swelling</b>"	"<img src=""paste-6b236b02fcfc19d170aca7362c3ca1bb3a0be0ae.jpg"">"										OB::CriticalCardDeck::Path
<b>Heterotopic Ossification</b> is the formation of bone in atypical, extraskeletal tissues usually occurs after {{c1::local trauma}}, following {{c1::neurological}} injury, or {{c1::post-surgical (THA or TKA typical)}} and patients typically complain of <b><u>loss of motion</u></b>	"<img src=""paste-6a706f466cb30a5dfa4112ff15aaa22355343c4b.jpg"">"										OB::CriticalCardDeck::Path
Although not supported by literature, common <b><u>prophylactic methods for HO</u></b> are {{c1::Indomethacin 75mg/day::med and dosage}} for 10 days to 6 weeks and {{c1::perioperative radiation}} which is thought to <b>block osteoblast</b> <b>differentiation&nbsp;</b>											OB::CriticalCardDeck::Path
<b>Extra-abdominal Desmoid Tumors</b> are benign,<b><u> locally aggressive, fibrogenic</u></b> lesions that are associated with {{c1::<b>familial adenomatous polyposis (FAP)</b>}}; biopsy will show well-differentiated {{c2::<b>fibroblasts</b>}} with uniform {{c2::<b>spindle</b>}} cells and IHC will have positive {{c3::<b>estrogen receptor-beta</b>}}	"Treatment may be medical management with tamoxifen or wide surgical excision with radiotherapy depending on the size, grade and location of the lesion.&nbsp;<br><img src=""paste-498afb025bef692b4c11b7b25ea5cc381ba1778e.jpg"">"										OB::CriticalCardDeck::Path
"<b>N<span style=""color: rgb(51, 51, 51);"">a</span></b><span style=""color: rgb(51, 51, 51);""><b>me 4 primary bone tumors where radiation may be used as definitive treatment?</b><br><br></span>{{c1::Ewing Sarcoma}}<span style=""color: rgb(51, 51, 51);""><br></span>{{c1::Primary lymphoma of bone}}<span style=""color: rgb(51, 51, 51);""><br></span>{{c1::Hemangioendothelioma}}<span style=""color: rgb(51, 51, 51);""><br></span>{{c1::Multiple Myeloma (solitary plasmacytoma) of bone}}<span style=""color: rgb(51, 51, 51);""><br></span>"	"<span style=""color: rgb(32, 33, 36);"">Epithelioid hemangioendothelioma, or EHE, is&nbsp;</span><b>a rare cancer that grows from the cells that make up the blood vessels</b><span style=""color: rgb(32, 33, 36);"">.&nbsp;</span>"										OB::CriticalCardDeck::Path
<b>Osteiod Osteoma </b>accounts 10-14% of all benign bone tumors and 2-3% of all primary bone tumors and <b>pain </b>is attirbuted to<b> increased local concentration</b> of {{c1::PGE2}} &amp; {{c1::COX 1 and 2}} which makes sense why treatment is with {{c1::&nbsp;<b><u>NSAIDs</u></b>}}	"Worse at night, responds to NSAIDS!!<br><img src=""paste-13cef7b64dd7ee8d5def161c459bc3cb24f668f0.jpg"">"										OB::CriticalCardDeck::Path
<b>Individuals with MHE</b> that have {{c1::EXT1}} mutation have a more severe presentation compared to patients with the {{c1::EXT2}} mutation including higher rate of {{c2::chondrosarcoma}}, more exostoses, more limb malalignment (<b>less forearm ROM</b>), more pelvic and flatbone involvement&nbsp;											OB::CriticalCardDeck::Path
<b>Common limb deformities in MHE</b> are: femoral shortening with limb-length discrepency,<b> coxa valga</b>, {{c1::knee}} and {{c1::ankle}} <b><u>valgus </u></b>due to {{c1::shortened fibula}}, {{c2::ulnar}} shortening and {{c2::radial}} bowing&nbsp;	"<img src=""MHE radial bowing_moved.jpg""><br><img src=""Fig3abc-Coxa-Valga_Vara.gif""><br><img src=""https://www.researchgate.net/profile/Julio-Masquijo/publication/353815148/figure/fig1/AS:1055476909371393@1628656713222/year-old-boy-with-bilateral-idiopathic-genu-valgum-and-patellofemoral-instability-A_Q320.jpg"">"										OB::CriticalCardDeck::Path
In patients with <b>osteochondroma or MHE,</b> cartilage cap &gt; {{c1::2 cm::value and units}} is associated with <b><u>increased</u>&nbsp;chance of malignancy to <u>chondrosarcoma</u></b>	"<img src=""0973b52cc9be62cf9d71da879dcf31_gallery.jpg"">"										OB::CriticalCardDeck::Path
{{c1::Scapular notching}} is a phenomenon unique to RSA, and is caused by <b>mechanical impingement</b> between the <b>humeral component </b>and the <b>neck of the glenoid </b>which occurs with placement of glenosphere too {{c2::superior}} or with {{c2::superior}} tilt.&nbsp;This can cause wear of the polyethylene and consequent osteolysis of the surrounding bone	"<img src=""screen_shot_2021-11-10_at_6.27.48_am.jpg""><img src=""scapularnotching.jpg""><img src=""https://www.researchgate.net/publication/251637246/figure/fig1/AS:557047894601736@1509821975309/nferior-tilt-of-the-baseplate-and-glenosphere-at-15-to-improve-implant-bone-interface.png"">"										OBQuestions
Early {{c1::eccentric}} strengthening following ACL reconstruction has been associated with increased {{c2::quadriceps}} volume and improvement in {{c2::strength}} at 1 year without a higher risk of {{c2::knee laxity}}	"<img alt=""Image result for eccentric vs concentric ACL strengthening"" src=""https://th.bing.com/th/id/OIP.8L7-fdTKT7PZElzwEpplSQHaHA?w=183&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;pid=1.7"">"										OB::qbank
During the <b><u>posterior approach </u></b>to the hip, the most predictable course of the<b><u> sciatic nerve</u></b> is <b>deep </b>to the {{c1::piriformis}} and <b>superficial </b>to the {{c1::short external rotators}} exiting above the {{c1::superior gemellus}}	"<img src=""piriformis.jpg"">"										OBQuestions
{{c1::Intersection syndrome}} is an inflammatory response to overuse at the site of the {{c2::second}} dorsal compartment crossing under the {{c2::first}} dorsal compartment approximately <b>5 cm proximal to the wrist. &nbsp;</b>	"ECRL,ECRB crossing under APL,EPB<div><img src=""paste-5444d4549caf9da24923da6564603f18738c8e13.png""><br></div>"										
<b>Forearm pronosupination </b>after ORIF of both bone forearm fracture is dependent on restoration of {{c1::radial bow}}	"long straight radial plate bad for functional forearm ROM<br><img src=""paste-37e52ffa475dea3ce949a9a4f479ddf68a29206e.jpg""><img src=""https://upload.orthobullets.com/question/211490/images/radial_bow.jpg"">"										OB::CriticalCardDeck::Trauma
In a reverse TSA,the <b>center of rotation</b> is moved {{c1::inferiorly}} and {{c1::medialized}} which allows&nbsp;the&nbsp;<b>deltoid muscle to act on a longer fulcrum&nbsp;</b>and have more mechanical advantage.	"relies on deltoid as no longer have funcitoning rotator cuff<br><img src=""https://upload.orthobullets.com/topic/3076/images/biomechanics_of_rtsa..jpg""><br><img src=""https://upload.orthobullets.com/topic/3076/images/reverse%20ball.jpg""><img src=""https://upload.orthobullets.com/topic/3076/images/scapno.jpg"">"										OB::CriticalCardDeck::Trauma
"<b>""Dimple sign""</b>&nbsp;in a patient with knee dislocation is an&nbsp;<b>obvious deformity due to buttonholing of the</b>&nbsp;{{c1::medial}} femoral condyle through the capsule and is an indication of an <b><u>irreducible&nbsp;</u></b>{{c1::posterolateral::direction}} <b>dislocation </b>and<b> closed reduction is contraindicated</b> due to <u><b>risk </b></u>of {{c2::skin necrosis}}."	"<img src=""https://upload.orthobullets.com/topic/1043/images/img_4696.jpg""><br><img src=""paste-62a95261ce158e916eb6f438036d42f56f49a74a.jpg"">"										OB::CriticalCardDeck::Trauma
<b>Most common fracture</b> of the talus is a {{c1::talar neck}} fracture which is a high energy injury typically due to <b>forced </b>{{c3::dorsiflexion}} with <b>axial load</b>, with high incidence of {{c2::talus AVN}}, in addition to <b>XR </b>will frequently require <b><u>CT</u></b>, and treatment is <b>emergent reduction followed by internal fixation</b>	"fixation can be acute or delayed as long as it is reduced first<br><img src=""https://upload.orthobullets.com/topic/1048/images/weatherford_120510_00001-2_moved.jpg""><img src=""https://upload.orthobullets.com/topic/1048/images/hawkins%204.jpg"">"										OB::CriticalCardDeck::Trauma
The <b><u>Hawkins</u>&nbsp;</b>classification is used to <b>assess risk of AVN </b>in patients with talar neck fractures: <b>Hawkins I: Nondisplaced</b>, <b>Hawkins II:</b> {{c1::subtalar}} dislocation, <b>Hawkins III</b>: {{c2::Subtalar}} and {{c2::Tibiotalar}} dislocation, <b>Hawkins IV</b>: {{c3::Subtalar}}, {{c3::Tibiotalar}}, and {{c3::Talonavicular}} Dislocation	"Subtalar dislocation<br><img src=""talar neck fx dislocation lateral.jpg""><br>Subtalar and Tibiotalar dislocation<br><img src=""talar neck fx dislocation lateral.jpg""><br>Subtalar, Tibiotalar, and Talonavicular Dislocation<br><img src=""hawkins 4.jpg""><br><img src=""paste-e49fc7162ad941e1fb9a004d75366d0726b3a997.jpg"">"										OB::CriticalCardDeck::Trauma
In <b>a talar neck fx</b>, in addition to AP and lateral radiographs, you should obtain a {{c2::Canale}} view which is obtained by maximum {{c1::equinus}}, {{c1::15}} degrees {{c1::pronated}}, xray <b>75 degrees cephalad from horizontal</b>	"<img src=""Screen Shot 2023-02-19 at 8.24.10 PM.png""><img src=""Canale View Illustration_moved.jpg"">"										OB::CriticalCardDeck::Trauma
The {{c1::hawkins}} sign in talar neck fractures is an area of {{c2::subchondral lucency}} best seen on <b>Mortise </b>view at <b>6-8 weeks</b> which indicates <b>intact vascularity</b> with resorption of subchondral bone	"<img src=""https://upload.orthobullets.com/topic/1048/images/Xray%20-%20AP%20-%20Hawkins%20positive%20and%20negative_moved.jpg"">"										OB::CriticalCardDeck::Trauma
"<span style=""color: rgb(51, 51, 51);"">Among patients who undergo hip replacement for osteoarthritis when they are younger than 50 years of age, what is the most common underlying etiology?<br><br></span>{{c1::Hip Dysplasia}}<span style=""color: rgb(51, 51, 51);""><br></span>"	"<img src=""paste-8aa3e37e830d7bb696087c89ef6b0ca97be49309.jpg""><br><img src=""adult_hip_dysplasia..jpg"">"										ResStudy::Qbank
<b>Retrograde nailing of a periprosthetic distal femur fracture</b> in a patient with an <b>open box CR TKA&nbsp;</b>will typically alter the start point more {{c1::posteriorly}} and can lead to an {{c1::extension}} <b>deformity malunion</b> due to altered start point	"<img src=""https://www.researchgate.net/publication/324749970/figure/fig2/AS:619279862988801@1524659233373/Entry-point-of-the-retrograde-intramedullary-nail-which-could-affect-the-posterior.png""><br><img src=""paste-f24edc867656722c0d929af3a38226c5d805f7a8.jpg"">"										ResStudy::Qbank
"<span style=""color: rgb(51, 51, 51);"">What is the top 2 common indications for revision total knee arthroplasty in the United States?<br><br>1.&nbsp;</span>{{c1::Infection}}<span style=""color: rgb(51, 51, 51);""><br>2.</span> {{c1::Aseptic Loosening}}"	"<img src=""paste-ff539c192d7e09e7836be283bc79513012424891.jpg"">"										ResStudy::Qbank
"{{c1::Jaffe-Campanacci}}&nbsp;<span style=""color: rgb(51, 51, 51);"">syndrome has <b>multiple nonossifying fibromas </b>with cafe au lait pigmentation, mental retardation, heart, eyes and gonadal involvement along with features of <b>neurofibromatosis</b>.</span>"	"<img src=""paste-d7a9b7dabfb31d8a72892f64fb8416fdb5a857c7.jpg"">"										ResStudy::Qbank
The <b>most common nerve root palsy</b> after <b>cervical surgery </b>(anterior or posterior) is a {{c1::C5}} palsy which would commonly affect the {{c1::deltoid}} and {{c1::biceps}} muscles											ResStudy::Qbank
{{c3::Fibrodysplasia ossificans progressiva (FOP aka Stone Man Disease)}} involves the {{c1::ACVR1}} gene and is a rare disease that has 2 hallmark characteristics: progressive HO/exostoses and congenital malformation of the {{c1::great toe}}	"<img src=""fig_b_feet_xr.jpg""><img src=""fig_c_knee_xr2.jpg"">"		"<img src=""paste-0db8b7e61ef3a0a0874328d620f0647fdfb3e3d0.jpg"">"								OB::qbank
{{c1::CMC joint stability}} is the most important factor in determining reconstruction vs ablation of a hypoplastic thumb	"<span style=""color: rgb(51, 51, 51);"">The carpometacarpal (CMC) joint must be sufficiently stable</span><span style=""background-color: rgb(211, 233, 226); color: rgb(51, 51, 51);"">&nbsp;to provide resistance during grasp and pinch. This is the main determinant of the feasibility of reconstruction of the hypoplastic thumb<br></span><img src=""blauth.jpg""><span style=""background-color: rgb(211, 233, 226); color: rgb(51, 51, 51);""><br></span>"										OB::qbank
<b>PIN </b>provides <b>sensory information to the dorsal wrist capsule</b> and its <b>sensory branch</b> lies on the floor of the {{c1::4th}} dorsal wrist compartment&nbsp;	"EDC and EDI is in 4th dorsal compartment<br><img src=""screen_shot_2018-10-13_at_5.04.29_pm.jpg""><br><img src=""Wrist-Extensor.png"">"										OB::qbank
<b>Proximal femoral replacement</b> with <b>megaprosthesis </b>placement requires detachment of {{c1::abductor}} muscles and <b>reattachment </b>to <b>prosthesis </b>which leads to a <b>positive </b>{{c1::Trendelenburg}} sign	"<img src=""fig_2.jpg"">"		"<img src=""paste-91f46f2b0471a9713f368e561d6c3221cba1a14d.jpg"">"								OB::qbank
The {{c1::middle geniculate artery}} is the main blood supply to the <b>anterior cruciate ligament (ACL) </b>and it branches from the {{c1::popliteal}} artery and pierces the oblique popliteal ligament	"<img src=""screen_shot_2018-03-24_at_9.28.22_pm.jpg"">"										OB::qbank
The {{c1::PIP}} joint is the most commonly injured joint in the hand and {{c1::dorsal}} dislocations are the most common	"Dorsal dislocations are more common than volar!<br><img src=""pip_dorsal_dl_simple.jpg"">"										OB::qbank
<b>Dorsal dislocations </b>of the <b>PIP </b>joint<b>&nbsp;</b>typically leads to tearing of the collateral ligaments and injury to the {{c1::volar plate}}	"Volar plate can act as a block to closed reduction (Do not pull longitudinal traction as this can cause volar plate to act as block) JUST apply pressure<br><img src=""pip_dorsal_dl_simple.jpg""><img src=""pipj_anatomy_2.jpg"">"										OB::qbank
<b>Volar dislocations </b>of <b>PIP </b>joint typically leads to rupture of {{c1::central slip}}	"<img src=""pip_volar_dl_simple.jpg""><img src=""Slide1-2.jpg"">"										OB::qbank
Treatment of a <b>phalanx dorsal dislocation </b>that is successfully reduced is: {{c1::buddy taping to adjacent finger}} for {{c1::3-6}} weeks	"<div>Volar plate injury: buddy tape</div><img src=""paste-c4efd4e79679a184ac1df439209503db40ff2d2f.jpg""><br><img src=""paste-a0580008bdccb08b765a01a92188037796893a50.jpg""><img src=""paste-c4efd4e79679a184ac1df439209503db40ff2d2f.jpg"">"										OB::qbank
Treatment of a <b>phalanx volar dislocation </b>that is successfully reduced is: {{c1::extension splinting}} for {{c1::6-8}} weeks	"<span style=""color: rgb(51, 51, 51);"">.&nbsp;</span><span style=""background-color: rgb(211, 233, 226); color: rgb(51, 51, 51);"">The PIP must be immobilized in extension to allow the extensor mechanism to hea</span><span style=""color: rgb(51, 51, 51);"">l. Immobilization in extension should be maintained for 6 weeks to allow soft tissue healing</span><br><img src=""paste-a32c0df84979a5fae7467d56466dfff87b8fdd37.jpg"">"										OB::qbank
{{c2::Madelung's deformity}}&nbsp;is a congenital dyschondrosis causing disruption of the {{c1::ulnar}} {{c1::volar}} physis of the {{c1::distal radius}} leading to excessive {{c3::radial inclination}}, {{c3::volar tilt}}, and <b>ulnar carpal impaction</b>	"<img src=""xray.jpg"">"										OB::qbank
{{c1::Leri-Weill dyschondrosteosis}} which is a rare genetic disease caused by {{c2::SHOX}} gene mutation and is characterized by <b>dwarfism </b>with {{c3::<b>Madelung's deformity</b>}}	"<img src=""paste-18a4f4be562096ac3c73c64bfbc05eb03f758bf5.jpg"">"										OB::qbank
<b>Blood supply to the patella </b>is derived from the anastomotic ring orginating from <b>geniculate</b> <b>arteries</b> and the most important bloody supply is located at the {{c1::inferior}} pole of the patella	"<img src=""blood_supply.jpg"">"										OB::qbank
The <b>most common complication </b>with <b>ORIF of a patella fracture</b> is {{c2::anterior knee pain}} due to {{c2::symptomatic hardware}} which has been associated with the following risk factors:<b> thin body habitus</b>, <b>open fractures </b>(due to {{c1::compromised soft-tissue envelope}}), and the use of {{c1::tension band construct with K-wires::technique}}	"<img src=""paste-35f62c961f7a2f82738e11f7a8617679408a9b59.jpg"">"										OB::qbank
Use of<b> short or long CMN in treatment of stable IT fractures is</b> <b>controversial</b>; important to know a short nail can tolerate up to {{c1::3-4}} cm of subtrochanteric extension	AAOS strongly recommends either CMN or SHS for stable IT fx										OB::trauma::ITfx
"<span style=""color: rgb(32, 33, 36);"">Tip to apex-distance (TAD) is&nbsp;</span>{{c1::<b>the sum of the distance, measured on anteroposterior and lateral radiographs, between the tip of the lag screw and the femur head apex</b><span style=""color: rgb(32, 33, 36);"">.</span>}} and less than {{c2::25}} mm is optimal to reduce failure rates"	"<img src=""00556fad-329c-4c0f-be77-d4acddd029d3_tad.jpg""><img src=""paste-a1412e0d0145bf84671370a1eab89be680cc9290.jpg"">"										OB::trauma::ITfx
Does the use of a <b>4 hole plate in SHS</b> for treatment of<b> stable IT fx show either a biomechanic or clinical advantage to a 2 hole plate for SHS</b>?<br><br>{{c1::NO CLINICAL OR BIOMECHANICAL BENEFIT}}	"<img src=""ambi1.jpg""><img src=""B9781437706956000107_f10-04-9781437706956.jpg"">"										OB::trauma::ITfx
<b>Blocking (poller) screws</b> can be used in <b>proximal 1/3 tibia fractures </b>to help guide the IMN down the metaphysis to avoid malunion/deformity and are placed {{c1::<b>laterally</b>}} to prevent {{c1::<b>valgus</b>}} deformity and placed {{c2::<b>posteriorly</b>}} to avoid {{c2::<b>procurvatum</b>}} deformity	"Think <b>Lateral </b>to avoid Va<b>L</b>gus and <b>Posterior </b>to avoid <b>Procurvatum<br>Placed on side of concavity<br></b><img src=""paste-f9c8031a02c8eb674e9142b02d0ce7b7dc099be3.jpg""><b><br></b>"										OB::trauma::tibialshaft
<b>Anterior intrapelvic approach (Stoppa Approach) </b>to the <b>acetabulum </b>requires ligation of the anastamosis between {{c2::obturator}} and {{c2::external iliac}} vessels aka as the {{c1::corona mortis}}&nbsp;	"Obturator vessels branch off anterior division of internal iliac<br><img src=""https://upload.orthobullets.com/question/4747/images/corona.jpg"">"										OB::qbank
<b>Types of muscle contractions:</b><br><br>{{c1::Isotonic}}: Muscle delivers constant force through ROM at constant tension<br>{{c1::Isometric}}: Muscle contracts with constant length, there is no joint motion<br>{{c1::Isokinetic}}: Muscle contracts at constant velocity, but resistance varies depending on force exerted (requires special machines)	"Isometric like pushing against a wall.&nbsp;<br><img alt=""Muscular contractions"" src=""https://image.slidesharecdn.com/muscularcontractions-150201003034-conversion-gate02/95/muscular-contractions-4-638.jpg?cb=1422772313"">"										OB::qbank
Following <b>total elbow arthroplasty</b>, there is a lifetime restriction of: {{c1::No lifting &gt;5-10 lbs}}	"<img src=""paste-034b03fe7f42269897e7f734f5d213e25d36fa0b.jpg"">"										OB::qbank
<u><b>Paprosky Classification of Femoral Bone Loss</b></u><br><br>Type I: Minimal metaphyseal bone loss<br>Type II: Extensive {{c1::metaphyseal}} bone loss with intact {{c1::diaphysis}}<br>Type IIIA: Extensive metadiaphyseal bone loss,<b> minimum of&nbsp;</b>{{c2::4}}&nbsp;<b>cm</b> of intact cortical bone in the diaphysis&nbsp;<br>Type IIIB: Extensive metadiaphyseal bone loss<b>, less than&nbsp;</b>{{c2::4}}<b>&nbsp;cm </b>of intact cortical bone in the diaphysis&nbsp;<br>Type IV: Extensive metadiaphyseal bone loss and a nonsupportive diaphysis	"<img src=""Screen Shot 2022-01-26 at 3.36.09 PM.png""><img src=""https://upload.orthobullets.com/topic/5009/images/slide1.jpg""><br>Type 1<br><img src=""paste-ac4af2710772d374548127721395a1b0d79e8a29.jpg""><br>Type 2<br><img src=""paste-f89936a3a45b91ec4a7d7527daca91155a638b05.jpg""><br>Type 3A<br><img src=""paste-1240881af686665401fd5d9a9760ffdf359fdf7c.jpg""><br><br>Type 3B<br><img src=""paste-60d8b99150f103403f6d5eba0b6b47d16c7efdce.jpg""><br>Type 4<br><img src=""paste-19af64f6a5c894ad19f672b3705983c9a9245a27.jpg""><br>"										"#Ortho::Orthobullets::Recon::Hip::RevisionTechniques"
